id,Name,Manufacturer,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Length,TDP,Expansion Slot Width,Cooling,Price,Url
111,Asus Radeon RX 6650 XT 8 GB ROG STRIX GAMING OC Video Card (ROG-STRIX-RX6650XT-O8G-GAMING),Asus,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,2694 MHz,,PCIe x16,Black / Gray,281 mm,180 W,2,2 Fans,€590.00,https://fi.pcpartpicker.com/product/T3JgXL/asus-radeon-rx-6650-xt-8-gb-rog-strix-gaming-oc-video-card-rog-strix-rx6650xt-o8g-gaming
112,PowerColor Radeon RX 6650 XT 8 GB Red Devil OC Video Card (AXRX 6650XT 8GBD6-3DHE/OC),PowerColor,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,2694 MHz,,PCIe x16,Black,251 mm,180 W,2,2 Fans,€629.90,https://fi.pcpartpicker.com/product/ZKTp99/powercolor-radeon-rx-6650-xt-8-gb-red-devil-oc-video-card-axrx-6650xt-8gbd6-3dheoc
113,Sapphire Radeon RX 6650 XT 8 GB NITRO+ Video Card (11319-01-20G),Sapphire,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,2694 MHz,,PCIe x16,Silver / Black,260 mm,203 W,2,2 Fans,€579.90,https://fi.pcpartpicker.com/product/wHFbt6/sapphire-radeon-rx-6650-xt-8-gb-nitro-video-card-11319-01-20g
114,Asus Radeon RX 6800 XT 16 GB STRIX LC GAMING OC Video Card (ROG-STRIX-LC-RX6800XT-O16G-GAMING),Asus,Radeon RX 6800 XT,16 GB,GDDR6,1825 MHz,2360 MHz,16000 MHz,PCIe x16,Black / Silver,277 mm,300 W,2,240 mm Radiator + 1 Fan,€1484.00,https://fi.pcpartpicker.com/product/cdpmP6/asus-radeon-rx-6800-xt-16-gb-strix-lc-gaming-oc-video-card-rog-strix-lc-rx6800xt-o16g-gaming
115,Sapphire Radeon RX 6750 XT 12 GB PULSE Video Card (11318-03-20G),Sapphire,Radeon RX 6750 XT,12 GB,GDDR6,2150 MHz,2618 MHz,,PCIe x16,Red / Black,280 mm,250 W,2,2 Fans,€749.90,https://fi.pcpartpicker.com/product/8yNxFT/sapphire-radeon-rx-6750-xt-12-gb-pulse-video-card-11318-03-20g
116,Asus Radeon RX 6950 XT 16 GB TUF GAMING OC Video Card (TUF-RX6950XT-O16G-GAMING),Asus,Radeon RX 6950 XT,16 GB,GDDR6,1890 MHz,2324 MHz,,PCIe x16,Black,320 mm,335 W,2,3 Fans,€1649.90,https://fi.pcpartpicker.com/product/ZPkWGX/asus-radeon-rx-6950-xt-16-gb-tuf-gaming-oc-video-card-tuf-rx6950xt-o16g-gaming
117,MSI Radeon RX 6650 XT 8 GB MECH 2X OC Video Card (Radeon RX 6650 XT MECH 2X 8G OC),MSI,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,,,PCIe x16,Silver / Black,235 mm,175 W,2,2 Fans,€559.90,https://fi.pcpartpicker.com/product/rfLFf7/msi-radeon-rx-6650-xt-8-gb-mech-2x-oc-video-card-radeon-rx-6650-xt-mech-2x-8g-oc
118,Asus Radeon RX 6800 16 GB STRIX GAMING OC Video Card (ROG-STRIX-RX6800-O16G-GAMING),Asus,Radeon RX 6800,16 GB,GDDR6,1700 MHz,2190 MHz,16000 MHz,PCIe x16,Silver / Black,320 mm,250 W,2,3 Fans,€899.90,https://fi.pcpartpicker.com/product/3RfFf7/asus-radeon-rx-6800-16-gb-strix-gaming-oc-video-card-rog-strix-rx6800-o16g-gaming
119,Asus Radeon RX 6400 4 GB DUAL Video Card (DUAL-RX6400-4G),Asus,Radeon RX 6400,4 GB,GDDR6,1923 MHz,,,PCIe x16,Black,201 mm,53 W,2,2 Fans,€237.00,https://fi.pcpartpicker.com/product/cPTp99/asus-radeon-rx-6400-4-gb-dual-video-card-dual-rx6400-4g
120,Sapphire Radeon RX 6900 XT 16 GB Toxic Extreme Edition Video Card (11308-08-20G),Sapphire,Radeon RX 6900 XT,16 GB,GDDR6,1825 MHz,2525 MHz,16000 MHz,PCIe x16,Black,270 mm,430 W,2,360 mm Radiator + 1 Fan,€1449.90,https://fi.pcpartpicker.com/product/7qRYcf/sapphire-radeon-rx-6900-xt-16-gb-toxic-extreme-edition-video-card-11308-08-20g
121,PowerColor Radeon RX 6400 4 GB Low Profile Video Card (AXRX 6400 LP 4GBD6-DH),PowerColor,Radeon RX 6400,4 GB,GDDR6,1923 MHz,,,PCIe x16,Black / Silver,155 mm,53 W,1,1 Fan,€229.90,https://fi.pcpartpicker.com/product/gNwypg/powercolor-radeon-rx-6400-4-gb-low-profile-video-card-axrx-6400-lp-4gbd6-dh
122,Sapphire Radeon RX 6900 XT 16 GB TOXIC Limited Edition Video Card (11308-06-20G),Sapphire,Radeon RX 6900 XT,16 GB,GDDR6,1825 MHz,2600 MHz,,PCIe x16,Black,270 mm,400 W,2,360 mm Radiator + 1 Fan,€1399.90,https://fi.pcpartpicker.com/product/yhM48d/sapphire-radeon-rx-6900-xt-16-gb-toxic-limited-edition-video-card-11308-06-20g
