id,Name,Manufacturer,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Length,TDP,Expansion Slot Width,Cooling,Price,Url
26,Asus GeForce RTX 3080 Ti 12 GB TUF GAMING OC Video Card (TUF-RTX3080TI-O12G-GAMING),Asus,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1695 MHz,19000 MHz,PCIe x16,Black,300 mm,350 W,2,3 Fans,€1369.90,https://fi.pcpartpicker.com/product/7CrRsY/asus-geforce-rtx-3080-ti-12-gb-tuf-gaming-oc-video-card-tuf-rtx3080ti-o12g-gaming
27,MSI GeForce RTX 3080 12GB LHR 12 GB GAMING Z TRIO Video Card (GeForce RTX 3080 GAMING Z TRIO 12G LHR),MSI,GeForce RTX 3080 12GB LHR,12 GB,GDDR6X,1260 MHz,1815 MHz,,PCIe x16,Black / Gray,323 mm,390 W,2,3 Fans,€1099.90,https://fi.pcpartpicker.com/product/qFytt6/msi-geforce-rtx-3080-12gb-lhr-12-gb-gaming-z-trio-video-card-geforce-rtx-3080-gaming-z-trio-12g-lhr
28,Asus GeForce RTX 3060 Ti LHR 8 GB TUF GAMING OC V2 Video Card (TUF-RTX3060TI-O8G-V2-GAMING),Asus,GeForce RTX 3060 Ti LHR,8 GB,GDDR6,1410 MHz,1785 MHz,14000 MHz,PCIe x16,Black,301 mm,200 W,2,3 Fans,€699.90,https://fi.pcpartpicker.com/product/RVH7YJ/asus-geforce-rtx-3060-ti-lhr-8-gb-tuf-gaming-oc-v2-video-card-tuf-rtx3060ti-o8g-v2-gaming
29,Asus GeForce RTX 3090 24 GB TUF GAMING OC Video Card (TUF-RTX3090-O24G-GAMING),Asus,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,,19500 MHz,PCIe x16,Black,300 mm,350 W,2,3 Fans,€1699.90,https://fi.pcpartpicker.com/product/GTkgXL/asus-geforce-rtx-3090-24-gb-tuf-gaming-oc-video-card-tuf-rtx3090-o24g-gaming
30,MSI GeForce RTX 3070 Ti 8 GB VENTUS 3X OC Video Card (GeForce RTX 3070 Ti VENTUS 3X 8G OC),MSI,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1800 MHz,19000 MHz,PCIe x16,Black / Silver,316 mm,290 W,2,3 Fans,€829.90,https://fi.pcpartpicker.com/product/XTmmP6/msi-geforce-rtx-3070-ti-8-gb-ventus-3x-oc-video-card-geforce-rtx-3070-ti-ventus-3x-8g-oc
31,MSI GeForce RTX 3050 8GB 8 GB GAMING X Video Card (GeForce RTX 3050 GAMING X 8G),MSI,GeForce RTX 3050 8GB,8 GB,GDDR6,1550 MHz,,,PCIe x16,Black,278 mm,130 W,2,2 Fans,€409.90,https://fi.pcpartpicker.com/product/HjC48d/msi-geforce-rtx-3050-8gb-8-gb-gaming-x-video-card-geforce-rtx-3050-gaming-x-8g
32,Asus GeForce RTX 3070 LHR 8 GB DUAL OC V2 Video Card (DUAL-RTX3070-O8G-V2),Asus,GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1800 MHz,14000 MHz,PCIe x16,Black,267 mm,220 W,2,2 Fans,€679.90,https://fi.pcpartpicker.com/product/nv2WGX/asus-geforce-rtx-3070-lhr-8-gb-dual-oc-v2-video-card-dual-rtx3070-o8g-v2
33,Asus GeForce RTX 3080 10GB LHR 10 GB ROG STRIX GAMING OC V2 Video Card (ROG-STRIX-RTX3080-O10G-V2-GAMING),Asus,GeForce RTX 3080 10GB LHR,10 GB,GDDR6X,1440 MHz,1935 MHz,19000 MHz,PCIe x16,Black,318 mm,320 W,2,3 Fans,€1169.90,https://fi.pcpartpicker.com/product/H4jBD3/asus-geforce-rtx-3080-lhr-10-gb-rog-strix-gaming-oc-v2-video-card-rog-strix-rtx3080-o10g-v2-gaming
34,MSI GeForce RTX 3070 LHR 8 GB GAMING Z TRIO Video Card (GeForce RTX 3070 GAMING Z TRIO 8G LHR),MSI,GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1845 MHz,14000 MHz,PCIe x16,Black / Silver,323 mm,240 W,2,3 Fans,€779.90,https://fi.pcpartpicker.com/product/qQM48d/msi-geforce-rtx-3070-lhr-8-gb-gaming-z-trio-video-card-geforce-rtx-3070-gaming-z-trio-8g-lhr
35,MSI GeForce RTX 3080 Ti 12 GB VENTUS 3X OC Video Card (GeForce RTX 3080 Ti VENTUS 3X 12G OC),MSI,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1695 MHz,19000 MHz,PCIe x16,Black / Silver,305 mm,350 W,2,3 Fans,€1509.90,https://fi.pcpartpicker.com/product/cW92FT/msi-geforce-rtx-3080-ti-12-gb-ventus-3x-oc-video-card-geforce-rtx-3080-ti-ventus-3x-12g-oc
36,MSI GeForce RTX 3090 Ti 24 GB GAMING X TRIO Video Card (RTX 3090 TI GAMING X TRIO 24G),MSI,GeForce RTX 3090 Ti,24 GB,GDDR6X,1560 MHz,1920 MHz,,PCIe x16,Black,325 mm,450 W,3,3 Fans,€2229.90,https://fi.pcpartpicker.com/product/LhLFf7/msi-geforce-rtx-3090-ti-24-gb-gaming-x-trio-video-card-rtx-3090-ti-gaming-x-trio-24g
37,Asus GeForce RTX 3080 12GB LHR 12 GB TUF GAMING OC Video Card (TUF-RTX3080-O12G-GAMING),Asus,GeForce RTX 3080 12GB LHR,12 GB,GDDR6X,1260 MHz,1815 MHz,19000 MHz,PCIe x16,Black / Silver,300 mm,350 W,2,3 Fans,€1099.90,https://fi.pcpartpicker.com/product/qnFbt6/asus-geforce-rtx-3080-12gb-lhr-12-gb-tuf-gaming-oc-video-card-tuf-rtx3080-o12g-gaming
38,MSI GeForce RTX 3090 24 GB GAMING X TRIO Video Card (RTX 3090 GAMING X TRIO 24G),MSI,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,,,PCIe x16,Black,335 mm,350 W,2,3 Fans,€1899.90,https://fi.pcpartpicker.com/product/yPpmP6/msi-geforce-rtx-3090-24-gb-gaming-x-trio-video-card-rtx-3090-gaming-x-trio-24g
39,MSI GeForce RTX 3070 LHR 8 GB VENTUS 2X OC Video Card (RTX 3070 Ventus 2X 8G OC LHR),MSI,GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1755 MHz,14000 MHz,PCIe x16,Black,232 mm,220 W,2,2 Fans,€749.90,https://fi.pcpartpicker.com/product/ZcFbt6/msi-geforce-rtx-3070-lhr-8-gb-ventus-2x-oc-video-card-rtx-3070-ventus-2x-8g-oc-lhr
40,Asus GeForce RTX 3080 10GB LHR 10 GB TUF GAMING OC V2 Video Card (TUF-RTX3080-O10G-V2-GAMING),Asus,GeForce RTX 3080 10GB LHR,10 GB,GDDR6X,1440 MHz,1815 MHz,19000 MHz,PCIe x16,Black,300 mm,320 W,2,3 Fans,€899.90,https://fi.pcpartpicker.com/product/p3BG3C/asus-geforce-rtx-3080-lhr-10-gb-tuf-gaming-oc-v2-video-card-tuf-rtx3080-o10g-v2-gaming
41,Asus GeForce RTX 3090 Ti 24 GB TUF GAMING OC Video Card (TUF-RTX3090TI-O24G-GAMING),Asus,GeForce RTX 3090 Ti,24 GB,GDDR6X,1560 MHz,1950 MHz,21000 MHz,PCIe x16,Black,326 mm,450 W,2,3 Fans,€2449.90,https://fi.pcpartpicker.com/product/4rstt6/asus-geforce-rtx-3090-ti-24-gb-tuf-gaming-oc-video-card-tuf-rtx3090ti-o24g-gaming
42,Asus GeForce RTX 3050 8GB 8 GB DUAL OC Video Card (DUAL-RTX3050-O8G),Asus,GeForce RTX 3050 8GB,8 GB,GDDR6,1550 MHz,1852 MHz,,PCIe x16,Black,200 mm,130 W,2,2 Fans,€369.90,https://fi.pcpartpicker.com/product/tBJgXL/asus-geforce-rtx-3050-8gb-8-gb-dual-oc-video-card-dual-rtx3050-o8g
43,MSI GeForce RTX 3070 Ti 8 GB SUPRIM X Video Card (GeForce RTX 3070 Ti SUPRIM X 8G),MSI,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1875 MHz,19000 MHz,PCIe x16,Black / Silver,335 mm,310 W,2,3 Fans,€989.90,https://fi.pcpartpicker.com/product/yvRYcf/msi-geforce-rtx-3070-ti-8-gb-suprim-x-video-card-geforce-rtx-3070-ti-suprim-x-8g
44,PNY Quadro RTX 8000 48 GB Video Card (VCQRTX8000-PB),PNY,Quadro RTX 8000,48 GB,GDDR6,1395 MHz,1770 MHz,14000 MHz,PCIe x16,Black / White,267 mm,295 W,2,1 Fan,€7077.00,https://fi.pcpartpicker.com/product/8kF48d/pny-quadro-rtx-8000-48-gb-video-card-vcqrtx8000-pb
45,Asus GeForce RTX 3080 12GB LHR 12 GB ROG STRIX GAMING OC Video Card (ROG-STRIX-RTX3080-O12G-GAMING),Asus,GeForce RTX 3080 12GB LHR,12 GB,GDDR6X,1260 MHz,1890 MHz,19000 MHz,PCIe x16,Black / Silver,318 mm,350 W,2,3 Fans,€1149.90,https://fi.pcpartpicker.com/product/gW7G3C/asus-geforce-rtx-3080-12gb-lhr-12-gb-rog-strix-gaming-oc-video-card-rog-strix-rtx3080-o12g-gaming
46,Asus GeForce RTX 3060 Ti LHR 8 GB DUAL OC V2 Video Card (DUAL-RTX3060TI-O8G-V2),Asus,GeForce RTX 3060 Ti LHR,8 GB,GDDR6,1410 MHz,1740 MHz,14000 MHz,PCIe x16,Black / Silver,269 mm,200 W,2,2 Fans,€589.90,https://fi.pcpartpicker.com/product/FZH7YJ/asus-geforce-rtx-3060-ti-lhr-8-gb-dual-oc-v2-video-card-dual-rtx3060ti-o8g-v2
47,MSI GeForce RTX 3090 24 GB SUPRIM X Video Card (RTX3090 SUPRIM X 24G),MSI,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,1875 MHz,19500 MHz,PCIe x16,Silver,336 mm,420 W,2,3 Fans,€2199.90,https://fi.pcpartpicker.com/product/Vf3mP6/msi-geforce-rtx-3090-24-gb-suprim-x-video-card-rtx3090-suprim-x-24g
48,Zotac GeForce RTX 3080 Ti 12 GB GAMING Trinity OC Video Card (ZT-A30810J-10P),Zotac,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1695 MHz,19000 MHz,PCIe x16,Black / Silver,318 mm,350 W,2,3 Fans,€1539.90,https://fi.pcpartpicker.com/product/QTmmP6/zotac-geforce-rtx-3080-ti-12-gb-gaming-trinity-oc-video-card-zt-a30810j-10p
49,Asus GeForce RTX 3070 LHR 8 GB TUF GAMING OC V2 Video Card (TUF-RTX3070-O8G-V2-GAMING),Asus,GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1845 MHz,14000 MHz,PCIe x16,Black,300 mm,220 W,2,3 Fans,€749.90,https://fi.pcpartpicker.com/product/R4jBD3/asus-geforce-rtx-3070-lhr-8-gb-tuf-gaming-oc-v2-video-card-tuf-rtx3070-o8g-v2-gaming
50,Asus GeForce RTX 3050 8GB 8 GB Phoenix Video Card (PH-RTX3050-8G),Asus,GeForce RTX 3050 8GB,8 GB,GDDR6,1550 MHz,1807 MHz,,PCIe x16,Black,177 mm,130 W,2,1 Fan,€309.90,https://fi.pcpartpicker.com/product/Q9pzK8/asus-geforce-rtx-3050-8gb-8-gb-phoenix-video-card-ph-rtx3050-8g
51,MSI GeForce RTX 3080 Ti 12 GB SUPRIM X Video Card (GeForce RTX 3080 Ti SUPRIM X 12G),MSI,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1845 MHz,19000 MHz,PCIe x16,Black / Silver,336 mm,400 W,2,3 Fans,€1699.90,https://fi.pcpartpicker.com/product/MBvdnQ/msi-geforce-rtx-3080-ti-12-gb-suprim-x-video-card-geforce-rtx-3080-ti-suprim-x-12g
52,MSI GeForce RTX 3060 Ti LHR 8 GB GAMING X Video Card (GeForce RTX 3060 Ti GAMING X 8G LHR),MSI,GeForce RTX 3060 Ti LHR,8 GB,GDDR6,1410 MHz,1770 MHz,14000 MHz,PCIe x16,Black / Gray,278 mm,220 W,2,2 Fans,€649.90,https://fi.pcpartpicker.com/product/N6LFf7/msi-geforce-rtx-3060-ti-lhr-8-gb-gaming-x-video-card-geforce-rtx-3060-ti-gaming-x-8g-lhr
53,MSI GeForce RTX 3090 24 GB VENTUS 3X OC Video Card (RTX 3090 VENTUS 3X 24G OC),MSI,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,,,PCIe x16,Black,305 mm,350 W,2,3 Fans,€1839.90,https://fi.pcpartpicker.com/product/vyn8TW/msi-geforce-rtx-3090-24-gb-ventus-3x-video-card-rtx-3090-ventus-3x-24g-oc
54,Palit GeForce RTX 3050 8GB 8 GB Dual Video Card (NE63050019P1-190AD),Palit,GeForce RTX 3050 8GB,8 GB,GDDR6,1550 MHz,1777 MHz,14000 MHz,PCIe x16,Black,245 mm,130 W,2,2 Fans,€379.90,https://fi.pcpartpicker.com/product/3nrRsY/palit-geforce-rtx-3050-8gb-8-gb-dual-video-card-ne63050019p1-190ad
55,Asus GeForce RTX 3070 Ti 8 GB TUF GAMING Video Card (TUF-RTX3070TI-8G-GAMING),Asus,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1800 MHz,19000 MHz,PCIe x16,Black / Silver,300 mm,290 W,2,3 Fans,€769.90,https://fi.pcpartpicker.com/product/Dfnypg/asus-geforce-rtx-3070-ti-8-gb-tuf-gaming-video-card-tuf-rtx3070ti-8g-gaming
56,PNY Quadro RTX 4000 8 GB Video Card (VCQRTX4000-PB),PNY,Quadro RTX 4000,8 GB,GDDR6,1005 MHz,1545 MHz,13000 MHz,PCIe x16,Silver / Black,267 mm,160 W,1,1 Fan,€1111.00,https://fi.pcpartpicker.com/product/k866Mp/pny-quadro-rtx-4000-8-gb-video-card-vcqrtx4000-pb
57,EVGA GeForce RTX 3090 24 GB XC3 ULTRA GAMING Video Card (24G-P5-3975-KR),EVGA,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,1725 MHz,19500 MHz,PCIe x16,Black / Red,285 mm,350 W,2,3 Fans,€2049.90,https://fi.pcpartpicker.com/product/XWpmP6/evga-geforce-rtx-3090-24-gb-xc3-ultra-gaming-video-card-24g-p5-3975-kr
58,MSI GeForce RTX 3070 LHR 8 GB SUPRIM X Video Card (RTX3070SuprimX8GLHR),MSI,GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1920 MHz,14000 MHz,PCIe x16,Black / Silver,335 mm,280 W,2,3 Fans,€809.90,https://fi.pcpartpicker.com/product/6GhFf7/msi-geforce-rtx-3070-lhr-8-gb-suprim-x-video-card-rtx3070suprimx8glhr
59,Asus GeForce RTX 3060 Ti LHR 8 GB DUAL MINI OC V2 Video Card (DUAL-RTX3060TI-O8G-MINI-V2),Asus,GeForce RTX 3060 Ti LHR,8 GB,GDDR6,1410 MHz,1710 MHz,14000 MHz,PCIe x16,Black,200 mm,200 W,2,2 Fans,€519.90,https://fi.pcpartpicker.com/product/gB92FT/asus-geforce-rtx-3060-ti-lhr-8-gb-dual-mini-oc-v2-video-card-dual-rtx3060ti-o8g-mini-v2
60,Asus GeForce RTX 3070 LHR 8 GB Noctua OC Video Card (RTX3070-O8G-NOCTUA),Asus,GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1845 MHz,,PCIe x16,Brown / Black,310 mm,220 W,2,2 Fans,€849.90,https://fi.pcpartpicker.com/product/H7ytt6/asus-geforce-rtx-3070-lhr-8-gb-noctua-oc-video-card-rtx3070-o8g-noctua
61,Gigabyte GeForce RTX 3070 LHR 8 GB EAGLE OC Rev 2.0 Video Card (GV-N3070EAGLE OC-8GD Rev 2.0),Gigabyte,GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1770 MHz,14000 MHz,PCIe x16,Black,282 mm,220 W,2,3 Fans,€689.90,https://fi.pcpartpicker.com/product/xfGbt6/gigabyte-geforce-rtx-3070-lhr-8-gb-eagle-oc-rev-20-video-card-gv-n3070eagle-oc-8gd-rev-20
62,MSI GeForce RTX 3060 12 GB AERO ITX OC Video Card (GeForce RTX 3060 AERO ITX 12G OC),MSI,GeForce RTX 3060,12 GB,GDDR6,1320 MHz,1792 MHz,15000 MHz,PCIe x16,Black / Silver,172 mm,170 W,2,1 Fan,€469.90,https://fi.pcpartpicker.com/product/4pnypg/msi-geforce-rtx-3060-12-gb-aero-itx-oc-video-card-geforce-rtx-3060-aero-itx-12g-oc
63,PNY Quadro RTX 6000 24 GB Video Card (VCQRTX6000-PB),PNY,Quadro RTX 6000,24 GB,GDDR6,1440 MHz,1770 MHz,14000 MHz,PCIe x16,Black / Silver,267 mm,295 W,2,1 Fan,€5045.00,https://fi.pcpartpicker.com/product/sLNv6h/pny-quadro-rtx-6000-24-gb-video-card-vcqrtx6000-pb
64,PNY Quadro RTX 5000 16 GB Video Card (VCQRTX5000-PB),PNY,Quadro RTX 5000,16 GB,GDDR6,1620 MHz,1815 MHz,14000 MHz,PCIe x16,Silver / Black,267 mm,265 W,2,1 Fan,€2242.00,https://fi.pcpartpicker.com/product/sChKHx/pny-quadro-rtx-5000-16-gb-video-card-vcqrtx5000-pb
65,Asus GeForce RTX 3080 10GB LHR 10 GB Noctua OC Video Card (RTX3080-O10G-NOCTUA),Asus,GeForce RTX 3080 10GB LHR,10 GB,GDDR6X,1440 MHz,1815 MHz,,PCIe x16,Brown,306 mm,320 W,2,2 Fans,€1149.90,https://fi.pcpartpicker.com/product/qcstt6/asus-geforce-rtx-3080-10gb-lhr-10-gb-noctua-oc-video-card-rtx3080-o10g-noctua
66,Palit GeForce RTX 3090 24 GB GameRock Video Card (NED3090T19SB-1021G),Palit,GeForce RTX 3090,24 GB,GDDR6X,1395 MHz,,19500 MHz,PCIe x16,Silver / Black,304 mm,370 W,2,3 Fans,€2199.90,https://fi.pcpartpicker.com/product/cCxbt6/palit-geforce-rtx-3090-24-gb-gamerock-video-card-ned3090t19sb-1021g
67,Zotac GeForce RTX 3080 Ti 12 GB AMP Extreme Holo Video Card (ZT-A30810B-10P),Zotac,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1785 MHz,,PCIe x16,Black,356 mm,400 W,2,3 Fans,€1689.90,https://fi.pcpartpicker.com/product/xQYmP6/zotac-geforce-rtx-3080-ti-12-gb-amp-extreme-holo-video-card-zt-a30810b-10p
68,MSI GeForce RTX 3080 10GB LHR 10 GB SUPRIM X Video Card (GeForce RTX 3080 SUPRIM X 10G LHR),MSI,GeForce RTX 3080 10GB LHR,10 GB,GDDR6X,1440 MHz,1920 MHz,19000 MHz,PCIe x16,Black / Silver,336 mm,370 W,2,3 Fans,€1129.90,https://fi.pcpartpicker.com/product/F4jBD3/msi-geforce-rtx-3080-lhr-10-gb-suprim-x-video-card-geforce-rtx-3080-suprim-x-10g-lhr
69,KFA2 GeForce RTX 3070 Ti 8 GB (1-Click OC) Video Card (37ISM6MD4COK),KFA2,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1785 MHz,19000 MHz,PCIe x16,Black,254 mm,290 W,2,2 Fans,€749.90,https://fi.pcpartpicker.com/product/Hw3gXL/kfa2-geforce-rtx-3070-ti-8-gb-1-click-oc-video-card-37ism6md4cok
70,Palit GeForce RTX 3080 Ti 12 GB GamingPro Video Card (NED308T019KB-132AA),Palit,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1665 MHz,19000 MHz,PCIe x16,Black / Silver,294 mm,350 W,2,3 Fans,€1529.90,https://fi.pcpartpicker.com/product/6TmmP6/palit-geforce-rtx-3080-ti-12-gb-gamingpro-video-card-ned308t019kb-132aa
71,Palit GeForce RTX 3080 12GB LHR 12 GB GamingPro Video Card (NED3080019KB-132AA),Palit,GeForce RTX 3080 12GB LHR,12 GB,GDDR6X,1260 MHz,1710 MHz,19000 MHz,PCIe x16,Silver / Black,294 mm,350 W,2,3 Fans,€1299.90,https://fi.pcpartpicker.com/product/CYt9TW/palit-geforce-rtx-3080-12gb-lhr-12-gb-gamingpro-video-card-ned3080019kb-132aa
72,MSI Radeon RX 6600 8 GB MECH 2X Video Card (RX 6600 MECH 2X 8G),MSI,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,,PCIe x16,Black / Silver,235 mm,132 W,2,2 Fans,€399.90,https://fi.pcpartpicker.com/product/M9ytt6/msi-radeon-rx-6600-8-gb-mech-2x-video-card-rx-6600-mech-2x-8g
73,PowerColor Radeon RX 6700 XT 12 GB Red Devil Video Card (AXRX 6700XT 12GBD6-3DHE/OC),PowerColor,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,2622 MHz,16000 MHz,PCIe x16,Black,320 mm,230 W,2,3 Fans,€769.90,https://fi.pcpartpicker.com/product/2kJgXL/powercolor-radeon-rx-6700-xt-12-gb-red-devil-video-card-axrx-6700xt-12gbd6-3dheoc
74,MSI Radeon RX 6600 XT 8 GB MECH 2X OC Video Card (RX6600XT MECH2X 8GOC),MSI,Radeon RX 6600 XT,8 GB,GDDR6,1968 MHz,2602 MHz,16000 MHz,PCIe x16,Black / Silver,235 mm,160 W,2,2 Fans,€519.90,https://fi.pcpartpicker.com/product/QRwypg/msi-radeon-rx-6600-xt-8-gb-mech-2x-oc-video-card-rx6600xt-mech2x-8goc
75,MSI Radeon RX 6500 XT 4 GB MECH 2X OC Video Card (Radeon RX 6500 XT MECH 2X 4G OC),MSI,Radeon RX 6500 XT,4 GB,GDDR6,2310 MHz,2825 MHz,,PCIe x16,Black / Silver,172 mm,107 W,2,2 Fans,€219.90,https://fi.pcpartpicker.com/product/Xh8bt6/msi-radeon-rx-6500-xt-4-gb-mech-2x-oc-video-card-radeon-rx-6500-xt-mech-2x-4g-oc
76,Gigabyte Radeon RX 6600 8 GB EAGLE Video Card (GV-R66EAGLE-8GD),Gigabyte,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,14000 MHz,PCIe x16,Black / Silver,282 mm,132 W,2,3 Fans,€439.90,https://fi.pcpartpicker.com/product/G9ytt6/gigabyte-radeon-rx-6600-8-gb-eagle-video-card-gv-r66eagle-8gd
77,MSI Radeon RX 6700 XT 12 GB MECH 2X OC Video Card (Radeon RX 6700 XT MECH 2X 12G OC),MSI,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,,16000 MHz,PCIe x16,Black / Silver,247 mm,230 W,2,2 Fans,€699.90,https://fi.pcpartpicker.com/product/9K4Ycf/msi-radeon-rx-6700-xt-12-gb-mech-2x-oc-video-card-radeon-rx-6700-xt-mech-2x-12g-oc
78,PowerColor Radeon RX 6600 8 GB Fighter Video Card (AXRX 6600 8GBD6-3DH),PowerColor,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,,PCIe x16,Black,200 mm,132 W,2,2 Fans,€419.90,https://fi.pcpartpicker.com/product/fQhFf7/powercolor-radeon-rx-6600-8-gb-fighter-video-card-axrx-6600-8gbd6-3dh
79,PowerColor Radeon RX 6950 XT 16 GB Red Devil OC Video Card (AXRX 6950XT 16GBD6-3DHE/OC),PowerColor,Radeon RX 6950 XT,16 GB,GDDR6,1890 MHz,2435 MHz,18000 MHz,PCIe x16,Black,320 mm,335 W,2,3 Fans,€1539.90,https://fi.pcpartpicker.com/product/ZHFbt6/powercolor-radeon-rx-6950-xt-16-gb-red-devil-oc-video-card-axrx-6950xt-16gbd6-3dheoc
80,Gigabyte Radeon RX 6750 XT 12 GB GAMING OC Video Card (GV-R675XTGAMING OC-12GD),Gigabyte,Radeon RX 6750 XT,12 GB,GDDR6,2150 MHz,2623 MHz,,PCIe x16,Black / Gray,281 mm,250 W,2,3 Fans,€749.90,https://fi.pcpartpicker.com/product/RbYmP6/gigabyte-radeon-rx-6750-xt-12-gb-gaming-oc-video-card-gv-r675xtgaming-oc-12gd
81,Asus Radeon RX 6600 8 GB DUAL Video Card (DUAL-RX6600-8G),Asus,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,14000 MHz,PCIe x16,Black / Silver,243 mm,132 W,2,2 Fans,€379.90,https://fi.pcpartpicker.com/product/NdvdnQ/asus-radeon-rx-6600-8-gb-dual-video-card-dual-rx6600-8g
82,PowerColor Radeon RX 6800 XT 16 GB Red Devil OC Video Card (AXRX 6800XT 16GBD6-3DHE/OC),PowerColor,Radeon RX 6800 XT,16 GB,GDDR6,1825 MHz,2340 MHz,16000 MHz,PCIe x16,Black,320 mm,300 W,2,3 Fans,€1099.90,https://fi.pcpartpicker.com/product/9KJmP6/powercolor-radeon-rx-6800-xt-16-gb-red-devil-oc-video-card-axrx-6800xt-16gbd6-3dheoc
83,PowerColor Radeon RX 6900 XT 16 GB Red Devil Ultimate Video Card (AXRX 6900XTU 16GBD6-3DHE/OC),PowerColor,Radeon RX 6900 XT,16 GB,GDDR6,1825 MHz,2425 MHz,16000 MHz,PCIe x16,Black,320 mm,300 W,2,3 Fans,€1679.90,https://fi.pcpartpicker.com/product/pRgFf7/powercolor-radeon-rx-6900-xt-16-gb-red-devil-ultimate-video-card-axrx-6900xtu-16gbd6-3dheoc
84,Asus Radeon RX 6900 XT 16 GB TUF GAMING OC Video Card (TUF-RX6900XT-O16G-GAMING),Asus,Radeon RX 6900 XT,16 GB,GDDR6,1825 MHz,2340 MHz,16000 MHz,PCIe x16,Black,320 mm,300 W,2,3 Fans,€999.90,https://fi.pcpartpicker.com/product/LRNgXL/asus-radeon-rx-6900-xt-16-gb-tuf-gaming-oc-video-card-tuf-rx6900xt-o16g-gaming
85,Gigabyte Radeon RX 6650 XT 8 GB EAGLE Video Card (GV-R665XTEAGLE-8GD),Gigabyte,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,2635 MHz,,PCIe x16,Black / Silver,282 mm,180 W,2,3 Fans,€559.90,https://fi.pcpartpicker.com/product/Fr8bt6/gigabyte-radeon-rx-6650-xt-8-gb-eagle-video-card-gv-r665xteagle-8gd
86,Gigabyte Radeon RX 6500 XT 4 GB GAMING OC Video Card (GV-R65XTGAMING OC-4GD),Gigabyte,Radeon RX 6500 XT,4 GB,GDDR6,2310 MHz,2825 MHz,18000 MHz,PCIe x16,Black / Gray,282 mm,107 W,2,3 Fans,€279.90,https://fi.pcpartpicker.com/product/P7H7YJ/gigabyte-radeon-rx-6500-xt-4-gb-gaming-oc-video-card-gv-r65xtgaming-oc-4gd
87,Gigabyte Radeon RX 6700 XT 12 GB GAMING OC Video Card (GV-R67XTGAMING OC-12GD),Gigabyte,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,,16000 MHz,PCIe x16,Black / Silver,281 mm,230 W,2,3 Fans,€649.90,https://fi.pcpartpicker.com/product/h7Tp99/gigabyte-radeon-rx-6700-xt-12-gb-gaming-oc-video-card-gv-r67xtgaming-oc-12gd
88,PowerColor Radeon RX 6750 XT 12 GB Red Devil OC Video Card (AXRX 6750XT 12GBD6-3DHE/OC),PowerColor,Radeon RX 6750 XT,12 GB,GDDR6,2593 MHz,2713 MHz,18000 MHz,PCIe x16,Black,320 mm,250 W,2,3 Fans,€799.90,https://fi.pcpartpicker.com/product/XZmmP6/powercolor-radeon-rx-6750-xt-12-gb-red-devil-oc-video-card-axrx-6750xt-12gbd6-3dheoc
89,MSI Radeon RX 6700 XT 12 GB GAMING X Video Card (Radeon RX 6700 XT GAMING X 12G),MSI,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,,16000 MHz,PCIe x16,Black / Silver,279 mm,230 W,2,2 Fans,€769.90,https://fi.pcpartpicker.com/product/3RkWGX/msi-radeon-rx-6700-xt-12-gb-gaming-x-video-card-radeon-rx-6700-xt-gaming-x-12g
