id,Name,Manufacturer,Core Count,Performance Core Clock,Performance Boost Clock,TDP,Integrated Graphics,L3 Cache,Simultaneous Multithreading,Includes CPU Cooler,Socket,Price,Url
37,Intel Core i5-11400F 2.6 GHz 6-Core Processor (BX8070811400F),Intel,6,2.6 GHz,4.4 GHz,65 W,None,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1200,€172.90,https://fi.pcpartpicker.com/product/qp2WGX/intel-core-i5-11400f-26-ghz-6-core-processor-bx8070811400f
38,Intel Core i5-12400 2.5 GHz 6-Core Processor (BX8071512400),Intel,6,2.5 GHz,4.4 GHz,65 W,Intel UHD Graphics 730,1 x 18 MB,Yes: Hyper-Threading,Yes,LGA1700,€249.90,https://fi.pcpartpicker.com/product/tLKKHx/intel-core-i5-12400-25-ghz-6-core-processor-bx8071512400
39,Intel Core i5-11600K 3.9 GHz 6-Core Processor (BX8070811600K),Intel,6,3.9 GHz,4.9 GHz,125 W,Intel UHD Graphics 750,1 x 12 MB,Yes: Hyper-Threading,No,LGA1200,€269.90,https://fi.pcpartpicker.com/product/RK3gXL/intel-core-i5-11600k-39-ghz-6-core-processor-bx8070811600k
40,Intel Core i5-10400 2.9 GHz 6-Core Processor (BX8070110400),Intel,6,2.9 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1200,€174.90,https://fi.pcpartpicker.com/product/X8snTW/intel-core-i5-10400-29-ghz-6-core-processor-bx8070110400
41,Intel Core i5-11400 2.6 GHz 6-Core Processor (BX8070811400),Intel,6,2.6 GHz,4.4 GHz,65 W,Intel UHD Graphics 730,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1200,€215.00,https://fi.pcpartpicker.com/product/92VmP6/intel-core-i5-11400-26-ghz-6-core-processor-bx8070811400
42,Intel Core i5-12600 3.3 GHz 6-Core Processor (BX8071512600),Intel,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 770,1 x 18 MB,Yes: Hyper-Threading,Yes,LGA1700,€293.00,https://fi.pcpartpicker.com/product/HqXJ7P/intel-core-i5-12600-33-ghz-6-core-processor-bx8071512600
43,Intel Core i5-10600K 4.1 GHz 6-Core Processor (BX8070110600K),Intel,6,4.1 GHz,4.8 GHz,125 W,Intel UHD Graphics 630,1 x 12 MB,Yes: Hyper-Threading,No,LGA1200,€265.00,https://fi.pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k
44,Intel Core i5-12500 3 GHz 6-Core Processor (BX8071512500),Intel,6,3 GHz,4.6 GHz,65 W,Intel UHD Graphics 770,1 x 18 MB,Yes: Hyper-Threading,Yes,LGA1700,€267.00,https://fi.pcpartpicker.com/product/hvC48d/intel-core-i5-12500-3-ghz-6-core-processor-bx8071512500
45,Intel Core i5-11600KF 3.9 GHz 6-Core Processor (BX8070811600KF),Intel,6,3.9 GHz,4.9 GHz,125 W,None,1 x 12 MB,Yes: Hyper-Threading,No,LGA1200,€266.00,https://fi.pcpartpicker.com/product/K3Z9TW/intel-core-i5-11600kf-39-ghz-6-core-processor-bx8070811600kf
46,Intel Core i5-11500 2.7 GHz 6-Core Processor (BX8070811500),Intel,6,2.7 GHz,4.6 GHz,65 W,Intel UHD Graphics 750,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1200,€247.00,https://fi.pcpartpicker.com/product/FsXJ7P/intel-core-i5-11500-27-ghz-6-core-processor-bx8070811500
47,Intel Core i5-11600 2.8 GHz 6-Core Processor (BX8070811600),Intel,6,2.8 GHz,4.8 GHz,65 W,Intel UHD Graphics 750,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1200,€276.00,https://fi.pcpartpicker.com/product/34ddnQ/intel-core-i5-11600-28-ghz-6-core-processor-bx8070811600
48,Intel Core i5-10500 3.1 GHz 6-Core Processor (BX8070110500),Intel,6,3.1 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1200,€209.90,https://fi.pcpartpicker.com/product/JKbCmG/intel-core-i5-10500-31-ghz-6-core-processor-bx8070110500
49,Intel Core i5-10600 3.3 GHz 6-Core Processor (BX8070110600),Intel,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,1 x 12 MB,Yes: Hyper-Threading,Yes,LGA1200,€259.90,https://fi.pcpartpicker.com/product/hftKHx/intel-core-i5-10600-33-ghz-6-core-processor-bx8070110600
50,Intel Core i7-12700K 3.6 GHz 12-Core Processor (BX8071512700K),Intel,12,3.6 GHz,5 GHz,125 W,Intel UHD Graphics 770,1 x 25 MB,Yes: Hyper-Threading,No,LGA1700,€499.90,https://fi.pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k
51,Intel Core i7-11700K 3.6 GHz 8-Core Processor (BX8070811700K),Intel,8,3.6 GHz,5 GHz,125 W,Intel UHD Graphics 750,1 x 16 MB,Yes: Hyper-Threading,No,LGA1200,€404.90,https://fi.pcpartpicker.com/product/VW3gXL/intel-core-i7-11700k-36-ghz-8-core-processor-bx8070811700k
52,Intel Core i7-12700KF 3.6 GHz 12-Core Processor (BX8071512700KF),Intel,12,3.6 GHz,5 GHz,125 W,None,1 x 25 MB,Yes: Hyper-Threading,No,LGA1700,€479.90,https://fi.pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf
53,Intel Core i7-12700F 2.1 GHz 12-Core Processor (BX8071512700F),Intel,12,2.1 GHz,4.9 GHz,65 W,None,1 x 25 MB,Yes: Hyper-Threading,Yes,LGA1700,€403.00,https://fi.pcpartpicker.com/product/LT3gXL/intel-core-i7-12700f-21-ghz-12-core-processor-bx8071512700f
54,Intel Core i7-10700K 3.8 GHz 8-Core Processor (BX8070110700K),Intel,8,3.8 GHz,5.1 GHz,125 W,Intel UHD Graphics 630,1 x 16 MB,Yes: Hyper-Threading,No,LGA1200,€399.00,https://fi.pcpartpicker.com/product/yhxbt6/intel-core-i7-10700k-38-ghz-8-core-processor-bx8070110700k
55,Intel Core i7-12700 2.1 GHz 12-Core Processor (BX8071512700),Intel,12,2.1 GHz,4.9 GHz,65 W,Intel UHD Graphics 770,1 x 25 MB,Yes: Hyper-Threading,Yes,LGA1700,€431.00,https://fi.pcpartpicker.com/product/XVRYcf/intel-core-i7-12700-21-ghz-12-core-processor-bx8071512700
56,Intel Core i7-10700F 2.9 GHz 8-Core Processor (BX8070110700F),Intel,8,2.9 GHz,4.8 GHz,65 W,None,1 x 16 MB,Yes: Hyper-Threading,Yes,LGA1200,€315.00,https://fi.pcpartpicker.com/product/PCvqqs/intel-core-i7-10700f-29-ghz-8-core-processor-bx8070110700f
57,Intel Core i7-11700KF 3.6 GHz 8-Core Processor (BX8070811700KF),Intel,8,3.6 GHz,5 GHz,125 W,None,1 x 16 MB,Yes: Hyper-Threading,No,LGA1200,€386.00,https://fi.pcpartpicker.com/product/Fgt9TW/intel-core-i7-11700kf-36-ghz-8-core-processor-bx8070811700kf
58,Intel Core i7-11700F 2.5 GHz 8-Core Processor (BX8070811700F),Intel,8,2.5 GHz,4.9 GHz,65 W,None,1 x 16 MB,Yes: Hyper-Threading,Yes,LGA1200,€347.00,https://fi.pcpartpicker.com/product/QDcG3C/intel-core-i7-11700f-25-ghz-8-core-processor-bx8070811700f
59,Intel Core i7-10700 2.9 GHz 8-Core Processor (BX8070110700),Intel,8,2.9 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,1 x 16 MB,Yes: Hyper-Threading,Yes,LGA1200,€349.00,https://fi.pcpartpicker.com/product/dLK2FT/intel-core-i7-10700-29-ghz-8-core-processor-bx8070110700
60,Intel Core i7-11700 2.5 GHz 8-Core Processor (BX8070811700),Intel,8,2.5 GHz,4.9 GHz,65 W,Intel UHD Graphics 750,1 x 16 MB,Yes: Hyper-Threading,Yes,LGA1200,€399.00,https://fi.pcpartpicker.com/product/7RTp99/intel-core-i7-11700-25-ghz-8-core-processor-bx8070811700
61,Intel Core i9-12900K 3.2 GHz 16-Core Processor (BX8071512900K),Intel,16,3.2 GHz,5.2 GHz,125 W,Intel UHD Graphics 770,1 x 30 MB,Yes: Hyper-Threading,No,LGA1700,€699.90,https://fi.pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k
62,Intel Core i9-12900KS 3.4 GHz 16-Core Processor (BX8071512900KS),Intel,16,3.4 GHz,5.5 GHz,150 W,Intel UHD Graphics 770,1 x 30 MB,Yes: Hyper-Threading,No,LGA1700,€869.90,https://fi.pcpartpicker.com/product/sn4Ycf/intel-core-i9-12900ks-34-ghz-16-core-processor-bx8071512900ks
63,Intel Core i9-10900K 3.7 GHz 10-Core Processor (BX8070110900K),Intel,10,3.7 GHz,5.3 GHz,125 W,Intel UHD Graphics 630,1 x 20 MB,Yes: Hyper-Threading,No,LGA1200,€486.00,https://fi.pcpartpicker.com/product/cwFKHx/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900k
64,Intel Core i9-12900KF 3.2 GHz 16-Core Processor (BX8071512900KF),Intel,16,3.2 GHz,5.2 GHz,125 W,None,1 x 30 MB,Yes: Hyper-Threading,No,LGA1700,€689.90,https://fi.pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf
65,Intel Core i9-11900K 3.5 GHz 8-Core Processor (BX8070811900K),Intel,8,3.5 GHz,5.3 GHz,125 W,Intel UHD Graphics 750,1 x 16 MB,Yes: Hyper-Threading,No,LGA1200,€503.00,https://fi.pcpartpicker.com/product/mDcG3C/intel-core-i9-11900k-35-ghz-8-core-processor-bx8070811900k
66,Intel Core i9-12900 2.4 GHz 16-Core Processor (BX8071512900),Intel,16,2.4 GHz,5.1 GHz,65 W,Intel UHD Graphics 770,1 x 30 MB,Yes: Hyper-Threading,Yes,LGA1700,€600.00,https://fi.pcpartpicker.com/product/JpJgXL/intel-core-i9-12900-24-ghz-16-core-processor-bx8071512900
67,Intel Core i9-12900F 2.4 GHz 16-Core Processor (BX8071512900F),Intel,16,2.4 GHz,5.1 GHz,65 W,None,1 x 30 MB,Yes: Hyper-Threading,Yes,LGA1700,€618.00,https://fi.pcpartpicker.com/product/vDXJ7P/intel-core-i9-12900f-24-ghz-16-core-processor-bx8071512900f
68,Intel Core i9-10980XE 3 GHz 18-Core Processor (BX8069510980XE),Intel,18,3 GHz,4.8 GHz,165 W,None,1 x 24.75 MB,Yes: Hyper-Threading,No,LGA2066,€1242.00,https://fi.pcpartpicker.com/product/bmxbt6/intel-core-i9-10980xe-3-ghz-18-core-processor-bx8069510980xe
69,Intel Core i9-10900X 3.7 GHz 10-Core Processor (BX8069510900X),Intel,10,3.7 GHz,4.7 GHz,165 W,None,1 x 19.25 MB,Yes: Hyper-Threading,No,LGA2066,€733.00,https://fi.pcpartpicker.com/product/r4NgXL/intel-core-i9-10900x-37-ghz-10-core-processor-bx8069510900x
70,Intel Core i9-10920X 3.5 GHz 12-Core Processor (BX8069510920X),Intel,12,3.5 GHz,4.8 GHz,165 W,None,1 x 19.25 MB,Yes: Hyper-Threading,No,LGA2066,€872.00,https://fi.pcpartpicker.com/product/2vZzK8/intel-core-i9-10920x-35-ghz-12-core-processor-bx8069510920x
71,Intel Core i9-10940X 3.3 GHz 14-Core Processor (BX8069510940X),Intel,14,3.3 GHz,4.8 GHz,165 W,None,1 x 19.25 MB,Yes: Hyper-Threading,No,LGA2066,€990.00,https://fi.pcpartpicker.com/product/fYWBD3/intel-core-i9-10940x-33-ghz-14-core-processor-bx8069510940x
