id,Name,Manufacturer,Fan RPM,Noise Level,Color,Height,Water Cooled,Fanless,Price,Url
27,NZXT Kraken Z63 RGB 91.19 CFM Liquid CPU Cooler (RL-KRZ63-RW),NZXT,500 - 1500 RPM,22 - 33 dB,White / Black,,Yes - 280 mm,No,€278.90,https://fi.pcpartpicker.com/product/ZVH7YJ/nzxt-kraken-z63-rgb-9119-cfm-liquid-cpu-cooler-rl-krz63-rw
28,Cooler Master MASTERLIQUID ML120L RGB V2 65.59 CFM Liquid CPU Cooler (MLW-D12M-A18PC-R2),Cooler Master,650 - 1800 RPM,6 - 27 dB,Black,,Yes - 120 mm,No,€72.90,https://fi.pcpartpicker.com/product/4TpmP6/cooler-master-masterliquid-ml120l-rgb-v2-6559-cfm-liquid-cpu-cooler-mlw-d12m-a18pc-r2
29,Noctua NH-U12A chromax.black 60.09 CFM CPU Cooler (NH-U12A chromax.black),Noctua,450 - 2000 RPM,18.8 - 22.6 dB,Black,158 mm,No,No,€119.90,https://fi.pcpartpicker.com/product/HCgFf7/noctua-nh-u12a-chromaxblack-6009-cfm-cpu-cooler-nh-u12a-chromaxblack
30,Noctua NH-U12S 55 CFM CPU Cooler (NH-U12S),Noctua,300 - 1500 RPM,18.6 - 22.4 dB,,158 mm,No,No,€67.90,https://fi.pcpartpicker.com/product/wjmLrH/noctua-nh-u12s-55-cfm-cpu-cooler-nh-u12s
31,Noctua NH-U12S redux 70.75 CFM CPU Cooler (NH-U12S redux),Noctua,450 - 1700 RPM,25.1 dB,Gray / Silver,158 mm,No,No,€52.90,https://fi.pcpartpicker.com/product/vV7G3C/noctua-nh-u12s-redux-7075-cfm-cpu-cooler-nh-u12s-redux
32,be quiet! Dark Rock 4 CPU Cooler (BK021),be quiet!,1400 RPM,,Black,159 mm,No,No,€71.90,https://fi.pcpartpicker.com/product/FRYLrH/be-quiet-dark-rock-4-cpu-cooler-bk021
33,Corsair H100x 57.2 CFM Liquid CPU Cooler (CW-9060040-WW),Corsair,1700 RPM,37 dB,Black,,Yes - 240 mm,No,€99.90,https://fi.pcpartpicker.com/product/8mJtt6/corsair-h100x-572-cfm-liquid-cpu-cooler-cw-9060040-ww
34,Corsair iCUE H170i ELITE LCD 82.9 CFM Liquid CPU Cooler (CW-9060063-WW),Corsair,400 - 1600 RPM,10 - 31.8 dB,Black,,Yes - 420 mm,No,€279.00,https://fi.pcpartpicker.com/product/MbddnQ/corsair-icue-h170i-elite-lcd-829-cfm-liquid-cpu-cooler-cw-9060063-ww
35,Noctua NH-L9i 33.84 CFM CPU Cooler (NH-L9i),Noctua,600 - 2500 RPM,14.8 - 23.6 dB,,37 mm,No,No,€39.90,https://fi.pcpartpicker.com/product/xxphP6/noctua-nh-l9i-3384-cfm-cpu-cooler-nh-l9i
36,Corsair iCUE H150i RGB PRO XT 75 CFM Liquid CPU Cooler (CW-9060045-WW),Corsair,2400 RPM,37 dB,Black / White,,Yes - 360 mm,No,€171.90,https://fi.pcpartpicker.com/product/Fnyqqs/corsair-icue-h150i-rgb-pro-xt-75-cfm-liquid-cpu-cooler-cw-9060045-ww
37,ARCTIC Freezer 7 X CPU Cooler (ACFRE00077A),ARCTIC,300 - 2000 RPM,22.5 dB,Black / White,132 mm,No,No,€21.90,https://fi.pcpartpicker.com/product/4VLwrH/arctic-freezer-7-x-cpu-cooler-acfre00077a
38,ARCTIC Liquid Freezer II 240 56.3 CFM Liquid CPU Cooler (ACFRE00046A),ARCTIC,200 - 1800 RPM,,Black,,Yes - 240 mm,No,€84.90,https://fi.pcpartpicker.com/product/c4MTwP/arctic-liquid-freezer-ii-240-563-cfm-liquid-cpu-cooler-acfre00046a
39,Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION 58.54 CFM Liquid CPU Cooler (GA-360SLB),Lian Li,800 - 1900 RPM,32 dB,Black / Silver,,Yes - 360 mm,No,€199.90,https://fi.pcpartpicker.com/product/CVZ9TW/lian-li-galahad-aio-360-rgb-uni-fan-sl120-edition-5854-cfm-liquid-cpu-cooler-ga-360slb
40,Corsair iCUE H115i ELITE CAPELLIX 97 CFM Liquid CPU Cooler (CW-9060047-WW),Corsair,2000 RPM,10 - 36 dB,Black,,Yes - 280 mm,No,€169.90,https://fi.pcpartpicker.com/product/m3TzK8/corsair-icue-h115i-elite-capellix-97-cfm-liquid-cpu-cooler-cw-9060047-ww
41,Deepcool AK400 66.47 CFM CPU Cooler (R-AK400-BKNNMN-G-1),Deepcool,500 - 1850 RPM,29 dB,Black / Silver,155 mm,No,No,€34.90,https://fi.pcpartpicker.com/product/QPkWGX/deepcool-ak400-6647-cfm-cpu-cooler-r-ak400-bknnmn-g-1
42,EVGA CLC 280 113.5 CFM Liquid CPU Cooler (400-HY-CL28-V1),EVGA,600 - 2200 RPM,16 - 39.5 dB,,,Yes - 280 mm,No,€116.00,https://fi.pcpartpicker.com/product/d2fmP6/evga-clc-280-1135-cfm-liquid-cpu-cooler-400-hy-cl28-v1
43,NZXT Kraken Z53 73.11 CFM Liquid CPU Cooler (RL-KRZ53-01),NZXT,500 - 2000 RPM,21 - 36 dB,Black,,Yes - 240 mm,No,€209.90,https://fi.pcpartpicker.com/product/hdsnTW/nzxt-kraken-z53-7311-cfm-liquid-cpu-cooler-rl-krz53-01
44,be quiet! Pure Rock 2 CPU Cooler (BK006),be quiet!,1500 RPM,19.1 - 26.8 dB,Silver / Black,155 mm,No,No,€39.90,https://fi.pcpartpicker.com/product/BVXYcf/be-quiet-pure-rock-2-cpu-cooler-bk006
45,EK EK-AIO D-RGB 66.04 CFM Liquid CPU Cooler (EK-AIO 240 D-RGB),EK,450 - 2600 RPM,36.4 dB,Black,,Yes - 240 mm,No,€137.00,https://fi.pcpartpicker.com/product/svkgXL/ek-ek-aio-240-d-rgb-6604-cfm-liquid-cpu-cooler-ek-aio-240-d-rgb
46,Cooler Master MasterLiquid ML360R RGB 66.7 CFM Liquid CPU Cooler (MLX-D36M-A20PC-R1),Cooler Master,650 - 2000 RPM,6 - 34 dB,Black,,Yes - 360 mm,No,€139.90,https://fi.pcpartpicker.com/product/WwjJ7P/cooler-master-masterliquid-ml360r-rgb-667-cfm-liquid-cpu-cooler-mlx-d36m-a20pc-r1
47,NZXT Kraken X53 RGB 52.44 CFM Liquid CPU Cooler (RL-KRX53-R1),NZXT,500 - 1500 RPM,22 - 33 dB,Black,,Yes - 240 mm,No,€144.90,https://fi.pcpartpicker.com/product/CqcRsY/nzxt-kraken-x53-rgb-5244-cfm-liquid-cpu-cooler-rl-krx53-r1
48,ARCTIC Freezer 34 eSports DUO CPU Cooler (ACFRE00075A),ARCTIC,200 - 2100 RPM,24.4 dB,Black / Gray,157 mm,No,No,€44.90,https://fi.pcpartpicker.com/product/PxtKHx/arctic-freezer-34-esports-duo-cpu-cooler-acfre00075a
49,Noctua NH-L9i chromax.black 33.84 CFM CPU Cooler (NH-L9i chromax.black),Noctua,600 - 2500 RPM,14.8 - 23.6 dB,Black,37 mm,No,No,€54.90,https://fi.pcpartpicker.com/product/vbLwrH/noctua-nh-l9i-chromaxblack-3384-cfm-cpu-cooler-nh-l9i-chromaxblack
50,Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION 58.54 CFM Liquid CPU Cooler (GA-240SLA),Lian Li,800 - 1900 RPM,32 dB,White / Silver,,Yes - 240 mm,No,€167.90,https://fi.pcpartpicker.com/product/Mdt9TW/lian-li-galahad-aio-240-rgb-uni-fan-sl120-edition-5854-cfm-liquid-cpu-cooler-ga-240sla
51,NZXT Kraken X63 RGB 91.19 CFM Liquid CPU Cooler (RL-KRX63-RW),NZXT,500 - 1500 RPM,22 - 33 dB,White / Black,,Yes - 280 mm,No,€163.90,https://fi.pcpartpicker.com/product/cpRYcf/nzxt-kraken-x63-rgb-9119-cfm-liquid-cpu-cooler-rl-krx63-rw
52,EK EK-AIO D-RGB 66.04 CFM Liquid CPU Cooler (EK-AIO 360 D-RGB),EK,450 - 2600 RPM,36.4 dB,Black,,Yes - 360 mm,No,€164.00,https://fi.pcpartpicker.com/product/yLBhP6/ek-ek-aio-360-d-rgb-6604-cfm-liquid-cpu-cooler-ek-aio-360-d-rgb
53,Noctua NH-U9S 46.44 CFM CPU Cooler (NH-U9S),Noctua,400 - 2000 RPM,16.3 - 22.8 dB,,124 mm,No,No,€57.90,https://fi.pcpartpicker.com/product/FcfmP6/noctua-nh-u9s-4644-cfm-cpu-cooler-nh-u9s
54,ARCTIC Freezer 34 eSports DUO CPU Cooler (ACFRE00074A),ARCTIC,200 - 2100 RPM,24.4 dB,White / Gray,157 mm,No,No,€46.90,https://fi.pcpartpicker.com/product/J7ZzK8/arctic-freezer-34-esports-duo-cpu-cooler-acfre00074a
55,Deepcool GAMMAXX 400 V2 64.5 CFM CPU Cooler (DP-MCH4-GMX400V2-BL),Deepcool,500 - 1650 RPM,,Black / Blue,155 mm,No,No,€24.90,https://fi.pcpartpicker.com/product/x2JmP6/deepcool-gammaxx-400-v2-645-cfm-cpu-cooler-dp-mch4-gmx400v2-bl
56,Corsair H60 (2018) 57.2 CFM Liquid CPU Cooler (CW-9060036-WW),Corsair,1700 RPM,28.3 dB,Black,,Yes - 120 mm,No,€89.90,https://fi.pcpartpicker.com/product/F2rmP6/corsair-h60-2018-572-cfm-liquid-cpu-cooler-cw-9060036-ww
57,Noctua NH-L9i-17xx chromax.black 33.84 CFM CPU Cooler (NH-L9i-17xx chromax.black),Noctua,600 - 2500 RPM,14.8 - 23.6 dB,Black,37 mm,No,No,€54.90,https://fi.pcpartpicker.com/product/nJqPxr/noctua-nh-l9i-17xx-chromaxblack-3384-cfm-cpu-cooler-nh-l9i-17xx-chromaxblack
58,Corsair iCUE H100i ELITE LCD 58.1 CFM Liquid CPU Cooler (CW-9060061-WW),Corsair,450 - 2000 RPM,10 - 30.4 dB,Black,,Yes - 240 mm,No,€229.00,https://fi.pcpartpicker.com/product/Lsstt6/corsair-icue-h100i-elite-lcd-581-cfm-liquid-cpu-cooler-cw-9060061-ww
59,NZXT Kraken X73 RGB 52.44 CFM Liquid CPU Cooler (RL-KRX73-RW),NZXT,500 - 1500 RPM,22 - 33 dB,White / Black,,Yes - 360 mm,No,€209.00,https://fi.pcpartpicker.com/product/HX3gXL/nzxt-kraken-x73-rgb-5244-cfm-liquid-cpu-cooler-rl-krx73-rw
60,NZXT Kraken Z53 RGB 52.44 CFM Liquid CPU Cooler (RL-KRZ53-RW),NZXT,500 - 1500 RPM,22 - 33 dB,White / Black,,Yes - 240 mm,No,€251.90,https://fi.pcpartpicker.com/product/BXZ9TW/nzxt-kraken-z53-rgb-5244-cfm-liquid-cpu-cooler-rl-krz53-rw
61,Noctua NH-U12A 60.09 CFM CPU Cooler (nh-u12a),Noctua,450 - 2000 RPM,18.8 - 22.6 dB,Brown,158 mm,No,No,€99.90,https://fi.pcpartpicker.com/product/ZLtQzy/noctua-nh-u12a-6009-cfm-cpu-cooler-nh-u12a
62,ARCTIC Liquid Freezer II 420 72.8 CFM Liquid CPU Cooler (ACFRE00092A),ARCTIC,200 - 1700 RPM,,Black,,Yes - 420 mm,No,€116.90,https://fi.pcpartpicker.com/product/bVMTwP/arctic-liquid-freezer-ii-420-728-cfm-liquid-cpu-cooler-acfre00092a
63,NZXT Kraken X73 RGB 52.44 CFM Liquid CPU Cooler (RL-KRX73-R1),NZXT,500 - 1500 RPM,22 - 33 dB,Black,,Yes - 360 mm,No,€189.00,https://fi.pcpartpicker.com/product/sPjNnQ/nzxt-kraken-x73-rgb-5244-cfm-liquid-cpu-cooler-rl-krx73-r1
64,Deepcool GAMMAXX GTE V2 64.5 CFM CPU Cooler (DP-MCH4-GMX-GTEV2),Deepcool,500 - 1650 RPM,27.8 dB,Black / White,158 mm,No,No,€27.90,https://fi.pcpartpicker.com/product/fNLwrH/deepcool-gammaxx-gte-v2-645-cfm-cpu-cooler-dp-mch4-gmx-gtev2
65,NZXT Kraken X63 RGB 91.19 CFM Liquid CPU Cooler (RL-KRX63-R1),NZXT,500 - 1500 RPM,22 - 33 dB,Black,,Yes - 280 mm,No,€159.90,https://fi.pcpartpicker.com/product/cVJmP6/nzxt-kraken-x63-rgb-9119-cfm-liquid-cpu-cooler-rl-krx63-r1
66,Deepcool AK620 WH 68.99 CFM CPU Cooler (AK620 WH),Deepcool,500 - 1850 RPM,28 dB,White,160 mm,No,No,€74.90,https://fi.pcpartpicker.com/product/gvGbt6/deepcool-ak620-wh-6899-cfm-cpu-cooler-ak620-wh
67,Noctua NH-L9a-AM4 33.84 CFM CPU Cooler (NH-L9a-AM4),Noctua,600 - 2500 RPM,14.8 - 23.6 dB,Brown,37 mm,No,No,€39.90,https://fi.pcpartpicker.com/product/DZfhP6/noctua-nh-l9a-am4-338-cfm-cpu-cooler-nh-l9a-am4
68,Corsair iCUE H170i ELITE CAPELLIX Liquid CPU Cooler (CW-9060055-WW),Corsair,2000 RPM,10 - 37 dB,Black,,Yes - 420 mm,No,€255.00,https://fi.pcpartpicker.com/product/HvbTwP/corsair-icue-h170i-elite-capellix-liquid-cpu-cooler-cw-9060055-ww
69,be quiet! Pure Rock Slim 2 CPU Cooler (BK030),be quiet!,,13.1 - 25.4 dB,Black / Silver,135 mm,No,No,€27.90,https://fi.pcpartpicker.com/product/JcqPxr/be-quiet-pure-rock-slim-2-cpu-cooler-bk030
70,ARCTIC Liquid Freezer II 240 A-RGB 48.8 CFM Liquid CPU Cooler (ACFRE00093A),ARCTIC,200 - 1800 RPM,22.5 dB,Black / Gray,,Yes - 240 mm,No,€99.90,https://fi.pcpartpicker.com/product/c7wypg/arctic-liquid-freezer-ii-240-a-rgb-488-cfm-liquid-cpu-cooler-acfre00093a
71,Gigabyte AORUS WATERFORCE X 60.07 CFM Liquid CPU Cooler (AORUS WATERFORCE X 360),Gigabyte,800 - 2500 RPM,7.9 - 37.6 dB,Black,,Yes - 360 mm,No,€240.00,https://fi.pcpartpicker.com/product/zkH7YJ/gigabyte-aorus-waterforce-x-360-6007-cfm-liquid-cpu-cooler-aorus-waterforce-x-360
72,Noctua NH-L9x65 33.84 CFM CPU Cooler (NH-L9x65),Noctua,600 - 2500 RPM,14.8 - 23.6 dB,,65 mm,No,No,€49.90,https://fi.pcpartpicker.com/product/fhqbt6/noctua-nh-l9x65-3384-cfm-cpu-cooler-nh-l9x65
73,EVGA CLC 360 74.82 CFM Liquid CPU Cooler (400-HY-CL36-V1),EVGA,500 - 2400 RPM,16 - 39.9 dB,Black,,Yes - 360 mm,No,€149.00,https://fi.pcpartpicker.com/product/s3FKHx/evga-clc-360-7482-cfm-liquid-cpu-cooler-400-hy-cl36-v1
74,ARCTIC Liquid Freezer II 360 A-RGB 48.8 CFM Liquid CPU Cooler (ACFRE00101A),ARCTIC,200 - 1800 RPM,22.5 dB,Black / Gray,,Yes - 360 mm,No,€116.90,https://fi.pcpartpicker.com/product/y7wypg/arctic-liquid-freezer-ii-360-a-rgb-488-cfm-liquid-cpu-cooler-acfre00101a
75,NZXT Kraken Z63 RGB 91.19 CFM Liquid CPU Cooler (RL-KRZ63-R1),NZXT,500 - 1500 RPM,22 - 33 dB,Black,,Yes - 280 mm,No,€278.90,https://fi.pcpartpicker.com/product/YvYmP6/nzxt-kraken-z63-rgb-9119-cfm-liquid-cpu-cooler-rl-krz63-r1
76,NZXT Kraken X53 RGB 52.44 CFM Liquid CPU Cooler (RL-KRX53-RW),NZXT,500 - 1500 RPM,22 - 33 dB,White / Black,,Yes - 240 mm,No,€147.90,https://fi.pcpartpicker.com/product/CYhFf7/nzxt-kraken-x53-rgb-5244-cfm-liquid-cpu-cooler-rl-krx53-rw
77,Cooler Master MasterLiquid ML240 Illusion 47.2 CFM Liquid CPU Cooler (MLX-D24M-A18PW-R1),Cooler Master,650 - 1800 RPM,6 - 30 dB,White,,Yes - 240 mm,No,€126.90,https://fi.pcpartpicker.com/product/vRwypg/cooler-master-masterliquid-ml240-illusion-472-cfm-liquid-cpu-cooler-mlx-d24m-a18pw-r1
78,ARCTIC Liquid Freezer II 280 A-RGB 68.9 CFM Liquid CPU Cooler (ACFRE00106A),ARCTIC,200 - 1900 RPM,22.5 dB,Black,138 mm,Yes - 280 mm,No,€104.90,https://fi.pcpartpicker.com/product/HZvdnQ/arctic-liquid-freezer-ii-280-a-rgb-689-cfm-liquid-cpu-cooler-acfre00106a
79,Lian Li GALAHAD AIO 360 RGB 69.17 CFM Liquid CPU Cooler (GALAHAD AIO 360 RGB WHITE),Lian Li,800 - 1900 RPM,,White / Silver,,Yes - 360 mm,No,€149.90,https://fi.pcpartpicker.com/product/gcsnTW/lian-li-galahad-aio-360-rgb-6917-cfm-liquid-cpu-cooler-galahad-aio-360-rgb-white
80,Noctua NH-D9L 46.44 CFM CPU Cooler (NH-D9L),Noctua,400 - 2000 RPM,16.3 - 22.8 dB,,110 mm,No,No,€51.90,https://fi.pcpartpicker.com/product/8pgPxr/noctua-nh-d9l-4644-cfm-cpu-cooler-nh-d9l
81,Noctua NH-D15S 82.52 CFM CPU Cooler (NH-D15S),Noctua,300 - 1500 RPM,19.2 - 24.6 dB,,160 mm,No,No,€86.90,https://fi.pcpartpicker.com/product/xCL7YJ/noctua-nh-d15s-8252-cfm-cpu-cooler-nh-d15s
82,Corsair iCUE H60i RGB PRO XT 75 CFM Liquid CPU Cooler (CW-9060049-WW),Corsair,2400 RPM,10 - 37 dB,Black,,Yes - 120 mm,No,€102.90,https://fi.pcpartpicker.com/product/HVtKHx/corsair-icue-h60i-rgb-pro-xt-75-cfm-liquid-cpu-cooler-cw-9060049-ww
83,ARCTIC Freezer i35 A-RGB CPU Cooler (ACFRE00104A),ARCTIC,200 - 1700 RPM,,Black,158 mm,No,No,€42.90,https://fi.pcpartpicker.com/product/XwH7YJ/arctic-freezer-i35-a-rgb-cpu-cooler-acfre00104a
84,MSI MEG CORELIQUID S360 56.2 CFM Liquid CPU Cooler (MEG CoreLiquid S360),MSI,,22.7 dB,Black,,Yes - 360 mm,No,€289.00,https://fi.pcpartpicker.com/product/LGH7YJ/msi-meg-coreliquid-s360-562-cfm-liquid-cpu-cooler-meg-coreliquid-s360
85,Corsair iCUE H115i RGB Pro XT 63 CFM Liquid CPU Cooler (CW-9060044-WW),Corsair,2200 RPM,36 dB,Black,,Yes - 280 mm,No,€156.90,https://fi.pcpartpicker.com/product/TgFKHx/corsair-icue-h115i-rgb-pro-xt-63-cfm-liquid-cpu-cooler-cw-9060044-ww
