id	Name	Manufacturer	Form Factor	Efficiency Rating	Wattage	Length	Modular	Color	Type	Fanless	ATX Connectors	EPS Connectors	PCIe 12-Pin Connectors	PCIe 8-Pin Connectors	PCIe 6+2-Pin Connectors	PCIe 6-Pin Connectors	SATA Connectors	Molex 4-Pin Connectors	Price	Url
33	Cooler Master V750 SFX GOLD 750 W 80+ Gold Certified Fully Modular SFX Power Supply (MPY-7501-SFHAGV-US)	Cooler Master	SFX	80+ Gold	750 W	100 mm	Full	Black	SFX12V	No	0	2	0	0	4	0	8	4	€179.90	https://fi.pcpartpicker.com/product/vr9tt6/cooler-master-v-sfx-gold-750-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-7501-sfhagv-us
34	NZXT C (2020) 750 W 80+ Gold Certified Fully Modular ATX Power Supply (NP-C750M-US)	NZXT	ATX	80+ Gold	750 W	150 mm	Full	Black	ATX	No	0	1	0	0	4	0	8	6	€89.90	https://fi.pcpartpicker.com/product/XBzFf7/nzxt-c-750-w-80-gold-certified-fully-modular-atx-power-supply-np-c750m-us
35	Corsair RM650 (2019) 650 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020194-NA)	Corsair	ATX	80+ Gold	650 W	160 mm	Full	Black	ATX	No	0	2	0	0	4	0	6	4	€99.00	https://fi.pcpartpicker.com/product/WxL48d/corsair-rm-2019-650-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020194-na
36	SeaSonic FOCUS GX 550 W 80+ Gold Certified Fully Modular ATX Power Supply (FOCUS-GX-550)	SeaSonic	ATX	80+ Gold	550 W	140 mm	Full	Black	ATX	No	0	2	0	0	2	0	10	3	€82.90	https://fi.pcpartpicker.com/product/3H2bt6/seasonic-focus-gx-550-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-550
37	be quiet! Dark Power 12 1000 W 80+ Titanium Certified Fully Modular ATX Power Supply (BN316)	be quiet!	ATX	80+ Titanium	1000 W	175 mm	Full	Black	ATX	No	0	2	0	0	8	0	13	5	€256.00	https://fi.pcpartpicker.com/product/hb8bt6/be-quiet-dark-power-12-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn316
38	SeaSonic FOCUS GX 750 W 80+ Gold Certified Fully Modular ATX Power Supply (FOCUS-GX-750)	SeaSonic	ATX	80+ Gold	750 W	140 mm	Full	Black	ATX	No	0	2	0	0	4	0	10	3	€97.90	https://fi.pcpartpicker.com/product/97848d/seasonic-focus-gx-750-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-750
39	Corsair HX750 Platinum 750 W 80+ Platinum Certified Fully Modular ATX Power Supply (CP-9020137-NA)	Corsair	ATX	80+ Platinum	750 W	180 mm	Full		ATX	No	0	2	0	0	4	0	16	4	€139.90	https://fi.pcpartpicker.com/product/LkM323/corsair-hx-platinum-750w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020137-na
40	Corsair RMx (2021) 550 W 80+ Gold Certified Fully Modular ATX Power Supply (CP-9020197-NA)	Corsair	ATX	80+ Gold	550 W	160 mm	Full	Black	ATX	No	0	1	0	0	2	0	7	4	€104.60	https://fi.pcpartpicker.com/product/bRvdnQ/corsair-rmx-2021-550-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020197-na
41	Silverstone SX1000-LPT 1000 W 80+ Platinum Certified Fully Modular SFX Power Supply (SST-SX1000-LPT)	Silverstone	SFX	80+ Platinum	1000 W	130 mm	Full	Black	SFX12V	No	0	2	0	0	6	0	8	3	€229.00	https://fi.pcpartpicker.com/product/PXCFf7/silverstone-sx-lpt-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx1000-lpt
42	be quiet! Pure Power 11 FM 650 650 W 80+ Gold Certified Fully Modular ATX Power Supply (BN671)	be quiet!	ATX	80+ Gold	650 W	165 mm	Full	Black	ATX	No	1	1	0	0	4	0	9	2	€104.90	https://fi.pcpartpicker.com/product/xJRYcf/be-quiet-pure-power-11-fm-650-w-80-gold-certified-fully-modular-atx-power-supply-bn671
43	Lian Li SP 750 W 80+ Gold Certified Fully Modular SFX Power Supply (SP750)	Lian Li	SFX	80+ Gold	750 W	100 mm	Full	Black	SFX12V	No	0	2	0	0	3	0	4	8	€129.90	https://fi.pcpartpicker.com/product/3ZzhP6/lian-li-sp-750-w-80-gold-certified-fully-modular-sfx-power-supply-sp750
44	EVGA BQ 850 W 80+ Bronze Certified Semi-modular ATX Power Supply (110-BQ-0850-V1)	EVGA	ATX	80+ Bronze	850 W	140 mm	Semi		ATX	No	0	2	0	0	3	0	10	5	€99.90	https://fi.pcpartpicker.com/product/kGL7YJ/evga-bq-850w-80-bronze-certified-semi-modular-atx-power-supply-110-bq-0850-v1
45	SeaSonic FOCUS GX 650 W 80+ Gold Certified Fully Modular ATX Power Supply (FOCUS-GX-650)	SeaSonic	ATX	80+ Gold	650 W	140 mm	Full	Black	ATX	No	0	2	0	0	4	0	10	3	€91.90	https://fi.pcpartpicker.com/product/RzfFf7/seasonic-focus-gx-650-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-650
