id	Name	Manufacturer	Capacity	Type	Cache	Form Factor	Interface	NVME	Price	Url
39	Seagate IronWolf Pro 6 TB 3.5" 7200RPM Internal Hard Drive (ST6000NE000)	Seagate	6 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€245.00	https://fi.pcpartpicker.com/product/JccRsY/seagate-ironwolf-pro-6-tb-35-7200rpm-internal-hard-drive-st6000ne000
40	Seagate BarraCuda 6 TB 3.5" 5400RPM Internal Hard Drive (ST6000DM003)	Seagate	6 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€144.90	https://fi.pcpartpicker.com/product/ByL48d/seagate-barracuda-6tb-35-5400rpm-internal-hard-drive-st6000dm003
41	Seagate BarraCuda 4 TB 2.5" 5400RPM Internal Hard Drive (ST4000LM024)	Seagate	4 TB	5400RPM	128 MB	2.5	SATA 6.0 Gb/s	No	€124.00	https://fi.pcpartpicker.com/product/ky98TW/seagate-barracuda-4tb-25-5400rpm-internal-hard-drive-st4000lm024
42	Seagate BarraCuda 1 TB 2.5" 5400RPM Internal Hard Drive (ST1000LM048)	Seagate	1 TB	5400RPM	128 MB	2.5	SATA 6.0 Gb/s	No	€58.00	https://fi.pcpartpicker.com/product/bZH48d/seagate-barracuda-1tb-25-5400rpm-internal-hard-drive-st1000lm048
43	Western Digital Red Plus 14 TB 3.5" 7200RPM Internal Hard Drive (WD140EFGX)	Western Digital	14 TB	7200RPM	512 MB	3.5	SATA 6.0 Gb/s	No	€513.00	https://fi.pcpartpicker.com/product/NspzK8/western-digital-wd-red-plus-14-tb-35-7200rpm-internal-hard-drive-wd140efgx
44	Western Digital Red Pro 18 TB 3.5" 7200RPM Internal Hard Drive (WD181KFGX)	Western Digital	18 TB	7200RPM	512 MB	3.5	SATA 6.0 Gb/s	No	€599.00	https://fi.pcpartpicker.com/product/R4RgXL/western-digital-red-pro-18-tb-35-7200rpm-internal-hard-drive-wd181kfgx
45	Western Digital Red Pro 4 TB 3.5" 7200RPM Internal Hard Drive (WD4003FFBX)	Western Digital	4 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€168.00	https://fi.pcpartpicker.com/product/2PYLrH/western-digital-red-pro-4tb-35-7200rpm-internal-hard-drive-wd4003ffbx
46	Western Digital Gold 12 TB 3.5" 7200RPM Internal Hard Drive (WD121KRYZ)	Western Digital	12 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€395.00	https://fi.pcpartpicker.com/product/KsRFf7/western-digital-gold-12tb-35-7200rpm-internal-hard-drive-wd121kryz
47	Western Digital AV-GP 6 TB 3.5" 7200RPM Internal Hard Drive (WD6003FZBX)	Western Digital	6 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€287.00	https://fi.pcpartpicker.com/product/JWm323/western-digital-black-6tb-35-7200rpm-internal-hard-drive-wd6003fzbx
48	Western Digital Black 1 TB 2.5" 7200RPM Internal Hard Drive (WD10SPSX)	Western Digital	1 TB	7200RPM	64 MB	2.5	SATA 6.0 Gb/s	No	€91.00	https://fi.pcpartpicker.com/product/t2BhP6/western-digital-black-1-tb-25-7200rpm-internal-hard-drive-wd10spsx
49	Western Digital Caviar Green 1 TB 3.5" 5400RPM Internal Hard Drive (WD10EZRX)	Western Digital	1 TB	5400RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€47.90	https://fi.pcpartpicker.com/product/xQ4gXL/western-digital-internal-hard-drive-wd10ezrx
50	Seagate IronWolf NAS 2 TB 3.5" 5900RPM Internal Hard Drive (ST2000VN004)	Seagate	2 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€93.00	https://fi.pcpartpicker.com/product/btkwrH/seagate-ironwolf-2tb-35-5900rpm-internal-hard-drive-st2000vn004
51	Western Digital Red 2 TB 3.5" 5400RPM Internal Hard Drive (WD20EFAX)	Western Digital	2 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€89.00	https://fi.pcpartpicker.com/product/9jYLrH/western-digital-red-2-tb-35-5400rpm-internal-hard-drive-wd20efax
52	Western Digital Blue Mobile 1 TB 2.5" 5400RPM Internal Hard Drive (WD10SPZX)	Western Digital	1 TB	5400RPM	128 MB	2.5	SATA 6.0 Gb/s	No	€64.00	https://fi.pcpartpicker.com/product/mjtQzy/western-digital-blue-mobile-1-tb-25-5400rpm-internal-hard-drive-wd10spzx
53	Western Digital Red Plus 12 TB 3.5" 7200RPM Internal Hard Drive (WD120EFBX)	Western Digital	12 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€371.00	https://fi.pcpartpicker.com/product/CK2WGX/western-digital-wd-red-plus-12-tb-35-7200rpm-internal-hard-drive-wd120efbx
54	Seagate EXOS Enterprise 8 TB 3.5" 7200RPM Internal Hard Drive (ST8000NM000A)	Seagate	8 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€232.00	https://fi.pcpartpicker.com/product/ZJMTwP/seagate-exos-enterprise-8-tb-35-7200rpm-internal-hard-drive-st8000nm000a
55	Western Digital Red 3 TB 3.5" 5400RPM Internal Hard Drive (WD30EFAX)	Western Digital	3 TB	5400RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€101.00	https://fi.pcpartpicker.com/product/QFH8TW/western-digital-red-3-tb-35-5400rpm-internal-hard-drive-wd30efax
56	Seagate EXOS Enterprise X18 16 TB 3.5" 7200RPM Internal Hard Drive (ST16000NM000J)	Seagate	16 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€347.00	https://fi.pcpartpicker.com/product/VGxRsY/seagate-exos-enterprise-x18-16-tb-35-7200rpm-internal-hard-drive-st16000nm000j
57	Western Digital Gold 4 TB 3.5" 7200RPM Internal Hard Drive (WD4003FRYZ)	Western Digital	4 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€196.00	https://fi.pcpartpicker.com/product/jtn8TW/western-digital-gold-4-tb-35-7200rpm-internal-hard-drive-wd4003fryz
58	Western Digital Gold 10 TB 3.5" 7200RPM Internal Hard Drive (WD102KRYZ)	Western Digital	10 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€304.00	https://fi.pcpartpicker.com/product/WxsnTW/western-digital-gold-10-tb-35-7200rpm-internal-hard-drive-wd102kryz
59	Western Digital Red Plus 3 TB 3.5" 5400RPM Internal Hard Drive (WD30EFZX)	Western Digital	3 TB	5400RPM	128 MB	3.5	SATA 6.0 Gb/s	No	€115.00	https://fi.pcpartpicker.com/product/NYrRsY/western-digital-wd-red-plus-3-tb-35-5400rpm-internal-hard-drive-wd30efzx
60	Western Digital Red Pro 2 TB 3.5" 7200RPM Internal Hard Drive (WD2002FFSX)	Western Digital	2 TB	7200RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€120.00	https://fi.pcpartpicker.com/product/TgDzK8/western-digital-red-pro-2tb-35-7200rpm-internal-hard-drive-wd2002ffsx
