id	Name	Manufacturer	Type	Color	Power Supply	Side Panel Window	Power Supply Shroud	Motherboard Form Factor	Maximum Video Card Length	Volume	Dimensions	Price	Url
59	Lian Li O11 Dynamic Mini ATX Mid Tower Case (O11D Mini-W)	Lian Li	ATX Mid Tower	White / Black	None	Tempered Glass	No	ATX	370 mm / 14.567	43.012 L	420 mm x 269.5 mm x 380 mm	€89.90	https://fi.pcpartpicker.com/product/TjtKHx/lian-li-o11-dynamic-mini-atx-mid-tower-case-o11d-mini-w
60	be quiet! Pure Base 500DX ATX Mid Tower Case (BGW38)	be quiet!	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	369 mm / 14.528	48.337 L	450 mm x 232 mm x 463 mm	€101.90	https://fi.pcpartpicker.com/product/3W6qqs/be-quiet-pure-base-500dx-atx-mid-tower-case-bgw38
61	Corsair iCUE 7000X RGB ATX Full Tower Case (CC-9011226-WW)	Corsair	ATX Full Tower	Black	None	Tempered Glass	Yes	ATX	450 mm / 17.717	81.84 L	550 mm x 248 mm x 600 mm	€352.90	https://fi.pcpartpicker.com/product/CRzhP6/corsair-icue-7000x-rgb-atx-mid-tower-case-cc-9011226-ww
62	Fractal Design Torrent RGB ATX Mid Tower Case (FD-C-TOR1A-04)	Fractal Design	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	423 mm / 16.654 With Drive Cages	69.773 L	544 mm x 242 mm x 530 mm	€279.90	https://fi.pcpartpicker.com/product/Y9RYcf/fractal-design-torrent-rgb-atx-mid-tower-case-fd-c-tor1a-04
63	Cooler Master MasterBox NR600 (w/o ODD) ATX Mid Tower Case (MCB-NR600-KGNN-S00)	Cooler Master	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	410 mm / 16.142	47.254 L	478 mm x 209 mm x 473 mm	€119.00	https://fi.pcpartpicker.com/product/CbqhP6/cooler-master-masterbox-nr600-wo-odd-atx-mid-tower-case-mcb-nr600-kgnn-s00
64	Corsair iCUE 5000X RGB ATX Mid Tower Case (CC-9011213-WW)	Corsair	ATX Mid Tower	White / Gray	None	Tempered Glass	Yes	ATX	420 mm / 16.535			€229.90	https://fi.pcpartpicker.com/product/XtmFf7/corsair-icue-5000x-rgb-atx-mid-tower-case-cc-9011213-ww
65	Fractal Design Meshify 2 Compact TG Dark Tint ATX Mid Tower Case (FD-C-MES2C-02)	Fractal Design	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	341 mm / 13.425 With Drive Cages			€152.00	https://fi.pcpartpicker.com/product/V7WzK8/fractal-design-meshify-2-compact-tg-dark-tint-atx-mid-tower-case-fd-c-mes2c-02
66	Cooler Master HAF 700 EVO ATX Full Tower Case (H700E-IGNN-S00)	Cooler Master	ATX Full Tower	Gray / Black	None	Tempered Glass	Yes	ATX	490 mm / 19.291			€599.00	https://fi.pcpartpicker.com/product/FCPQzy/cooler-master-haf-700-evo-atx-full-tower-case-h700e-ignn-s00
67	Gigabyte C200 Glass ATX Mid Tower Case (GB-C200G)	Gigabyte	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	330 mm / 12.992	43.848 L	435 mm x 210 mm x 480 mm	€79.90	https://fi.pcpartpicker.com/product/2t6qqs/gigabyte-c200-glass-atx-mid-tower-case-gb-c200g
68	NZXT H7 Elite ATX Mid Tower Case (CM-H71EB-01)	NZXT	ATX Mid Tower		None	Tempered Glass	Yes	ATX	400 mm / 15.748	55.752 L	480 mm x 230 mm x 505 mm	€219.90	https://fi.pcpartpicker.com/product/XNmmP6/nzxt-h7-elite-atx-mid-tower-case-cm-h71eb-01
69	Fractal Design Torrent Compact ATX Mid Tower Case (FD-C-TOR1C-02)	Fractal Design	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	330 mm / 12.992			€187.90	https://fi.pcpartpicker.com/product/VVXJ7P/fractal-design-torrent-compact-atx-mid-tower-case-fd-c-tor1c-02
70	NZXT H7 Elite ATX Mid Tower Case (CM-H71EW-01)	NZXT	ATX Mid Tower		None	Tempered Glass	Yes	ATX	400 mm / 15.748	55.752 L	480 mm x 230 mm x 505 mm	€219.90	https://fi.pcpartpicker.com/product/vcKKHx/nzxt-h7-elite-atx-mid-tower-case-cm-h71ew-01
71	Corsair iCUE 5000T RGB ATX Mid Tower Case (CC-9011230-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	400 mm / 15.748			€439.00	https://fi.pcpartpicker.com/product/3yBG3C/corsair-icue-5000t-rgb-atx-mid-tower-case-cc-9011230-ww
72	Fractal Design Meshify C ATX Mid Tower Case (FD-CA-MESH-C-BKO-TGL)	Fractal Design	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	315 mm / 12.402	40.598 L	413 mm x 217 mm x 453 mm	€119.90	https://fi.pcpartpicker.com/product/nL7v6h/fractal-design-meshify-c-tg-atx-mid-tower-case-fd-ca-mesh-c-bko-tgl
73	Fractal Design Torrent ATX Mid Tower Case (FD-C-TOR1A-01)	Fractal Design	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	423 mm / 16.654 With Drive Cages	69.773 L	544 mm x 242 mm x 530 mm	€237.90	https://fi.pcpartpicker.com/product/BjqPxr/fractal-design-torrent-atx-mid-tower-case-fd-c-tor1a-01
74	NZXT H510 ATX Mid Tower Case (CA-H510B-BR)	NZXT	ATX Mid Tower	Black / Red	None	Tempered Glass	Yes	ATX	381 mm / 15 With Drive Cages	41.345 L	428 mm x 210 mm x 460 mm	€89.90	https://fi.pcpartpicker.com/product/WHNgXL/nzxt-h510-atx-mid-tower-case-ca-h510b-br
75	Cooler Master MasterBox MB511 ARGB ATX Mid Tower Case (MCB-B511D-KGNN-RGA)	Cooler Master	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	410 mm / 16.142			€92.90	https://fi.pcpartpicker.com/product/F8qBD3/cooler-master-masterbox-mb511-argb-atx-mid-tower-case-mcb-b511d-kgnn-rga
76	Phanteks Eclipse P400A ATX Mid Tower Case (PH-EC400ATG_BK)	Phanteks	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	280 mm / 11.024 With Drive Cages	45.895 L	470 mm x 210 mm x 465 mm	€88.90	https://fi.pcpartpicker.com/product/3RJmP6/phanteks-eclipse-p400a-atx-mid-tower-case-ph-ec400atg_bk
77	Phanteks Eclipse P500A D-RGB ATX Mid Tower Case (PH-EC500ATG_DWT01)	Phanteks	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	435 mm / 17.126			€139.90	https://fi.pcpartpicker.com/product/GmhmP6/phanteks-eclipse-p500a-d-rgb-atx-mid-tower-case-ph-ec500atg_dwt01
78	NZXT H510i ATX Mid Tower Case (CA-H510i-B1)	NZXT	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	381 mm / 15 With Drive Cages	41.345 L	428 mm x 210 mm x 460 mm	€107.90	https://fi.pcpartpicker.com/product/jm848d/nzxt-h510i-atx-mid-tower-case-ca-h510i-b1
79	Fractal Design Meshify 2 Compact ATX Mid Tower Case (FD-C-MES2C-01)	Fractal Design	ATX Mid Tower	Black	None	None	Yes	ATX	341 mm / 13.425 With Drive Cages			€144.90	https://fi.pcpartpicker.com/product/7TBG3C/fractal-design-meshify-2-compact-atx-mid-tower-case-fd-c-mes2c-01
80	Corsair 200R ATX Mid Tower Case (200R)	Corsair	ATX Mid Tower	Black	None	None	No	ATX	300 mm / 11.811 With Drive Cages	44.775 L	497 mm x 210 mm x 429 mm	€102.90	https://fi.pcpartpicker.com/product/cTQypg/corsair-case-200r
81	Fractal Design Torrent ATX Mid Tower Case (FD-C-TOR1A-03)	Fractal Design	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	423 mm / 16.654 With Drive Cages	69.773 L	544 mm x 242 mm x 530 mm	€237.90	https://fi.pcpartpicker.com/product/ZwC48d/fractal-design-torrent-atx-mid-tower-case-fd-c-tor1a-03
82	Asus TUF Gaming GT501 ATX Mid Tower Case (GT501)	Asus	ATX Mid Tower	Black / Gray	None	Tempered Glass	Yes	ATX	420 mm / 16.535	75.511 L	545 mm x 251 mm x 552 mm	€189.90	https://fi.pcpartpicker.com/product/FRm323/asus-tuf-gaming-gt501-atx-mid-tower-case-gt501
83	Corsair 4000D ATX Mid Tower Case (CC-9011198-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	360 mm / 14.173	48.553 L	453 mm x 230 mm x 466 mm	€107.00	https://fi.pcpartpicker.com/product/rYjNnQ/corsair-4000d-atx-mid-tower-case-cc-9011198-ww
84	Corsair Crystal 680X RGB ATX Mid Tower Case (CC-9011168-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	330 mm / 12.992			€239.90	https://fi.pcpartpicker.com/product/Kx448d/corsair-crystal-series-680x-rgb-atx-mid-tower-case-cc-9011168-ww
85	Phanteks Enthoo Pro 2 ATX Full Tower Case (PH-ES620PTG_DBK01)	Phanteks	ATX Full Tower	Black	None	Tempered Glass	Yes	ATX	503 mm / 19.803			€169.00	https://fi.pcpartpicker.com/product/gQWBD3/phanteks-enthoo-pro-2-atx-full-tower-case-ph-es620ptg_dbk01
86	Fractal Design Meshify C ATX Mid Tower Case (FD-CA-MESH-C-BKO)	Fractal Design	ATX Mid Tower	Black	None	None	Yes	ATX	315 mm / 12.402	40.598 L	413 mm x 217 mm x 453 mm	€112.90	https://fi.pcpartpicker.com/product/fPzkcf/fractal-design-meshify-c-atx-mid-tower-case-fd-ca-mesh-c-bko
87	Fractal Design Define 7 ATX Mid Tower Case (FD-C-DEF7A-01)	Fractal Design	ATX Mid Tower	Black	None	None	Yes	ATX	315 mm / 12.402 With Drive Cages	62.358 L	547 mm x 240 mm x 475 mm	€199.00	https://fi.pcpartpicker.com/product/L8xbt6/fractal-design-define-7-atx-mid-tower-case-fd-c-def7a-01
88	Corsair iCUE 465X RGB ATX Mid Tower Case (CC-9011188-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567			€159.90	https://fi.pcpartpicker.com/product/K6848d/corsair-icue-465x-rgb-atx-mid-tower-case-cc-9011188-ww
89	Fractal Design Meshify 2 XL ATX Full Tower Case (FD-C-MES2X-01)	Fractal Design	ATX Full Tower	Black	None	Tinted Tempered Glass	Yes	ATX	549 mm / 21.614 With Drive Cages	81.504 L	600 mm x 240 mm x 566 mm	€239.00	https://fi.pcpartpicker.com/product/49bCmG/fractal-design-meshify-2-xl-atx-full-tower-case-fd-c-mes2x-01
90	Fractal Design Meshify 2 Compact TG Light Tint ATX Mid Tower Case (FD-C-MES2C-03)	Fractal Design	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	341 mm / 13.425 With Drive Cages			€156.90	https://fi.pcpartpicker.com/product/mgwypg/fractal-design-meshify-2-compact-tg-light-tint-atx-mid-tower-case-fd-c-mes2c-03
91	Corsair 4000D ATX Mid Tower Case (CC-9011199-WW)	Corsair	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	360 mm / 14.173	48.553 L	453 mm x 230 mm x 466 mm	€85.90	https://fi.pcpartpicker.com/product/2bMTwP/corsair-4000d-atx-mid-tower-case-cc-9011199-ww
92	Cooler Master MasterCase H500 ARGB ATX Mid Tower Case (MCM-H500-IGNN-S01)	Cooler Master	ATX Mid Tower	Black	None	Tempered Glass	No	ATX	410 mm / 16.142			€129.90	https://fi.pcpartpicker.com/product/VczFf7/cooler-master-mastercase-h500-argb-atx-mid-tower-case-mcm-h500-ignn-s01
93	Phanteks Eclipse P500A ATX Mid Tower Case (PH-EC500ATG_BK01)	Phanteks	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	435 mm / 17.126			€129.90	https://fi.pcpartpicker.com/product/NkK2FT/phanteks-eclipse-p500a-atx-mid-tower-case-ph-ec500atg_bk01
94	Phanteks Eclipse G360A ATX Mid Tower Case (PH-EC360ATG_DBK02)	Phanteks	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	400 mm / 15.748	42.315 L	455 mm x 200 mm x 465 mm	€109.90	https://fi.pcpartpicker.com/product/pqzhP6/phanteks-eclipse-g360a-atx-mid-tower-case-ph-ec360atg_dbk02
95	be quiet! Pure Base 500 ATX Mid Tower Case (BG034)	be quiet!	ATX Mid Tower	Black	None	None	No	ATX	369 mm / 14.528 With Drive Cages	46.05 L	450 mm x 231 mm x 443 mm	€84.90	https://fi.pcpartpicker.com/product/XCLwrH/be-quiet-pure-base-500-atx-mid-tower-case-bg034
96	Corsair iCUE 7000X RGB ATX Full Tower Case (CC-9011227WW)	Corsair	ATX Full Tower	White	None	Tempered Glass	Yes	ATX	450 mm / 17.717	81.84 L	550 mm x 248 mm x 600 mm	€352.90	https://fi.pcpartpicker.com/product/FDJgXL/corsair-icue-7000x-rgb-atx-mid-tower-case-cc-9011227ww
97	Deepcool CK560 ATX Mid Tower Case (R-CK560-BKAAE4-G-1)	Deepcool	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	380 mm / 14.961			€104.90	https://fi.pcpartpicker.com/product/RV8bt6/deepcool-ck560-atx-mid-tower-case-r-ck560-bkaae4-g-1
98	Thermaltake V200 RGB ATX Mid Tower Case (CA-1K8-00M1WN-01)	Thermaltake	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	380 mm / 14.961			€76.90	https://fi.pcpartpicker.com/product/XQndnQ/thermaltake-v200-tempered-glass-rgb-edition-atx-mid-tower-case-ca-1k8-00m1wn-01
99	Fractal Design Torrent Compact ATX Mid Tower Case (FD-C-TOR1C-04)	Fractal Design	ATX Mid Tower	Black	None	None	Yes	ATX	330 mm / 12.992			€159.90	https://fi.pcpartpicker.com/product/xwnypg/fractal-design-torrent-compact-atx-mid-tower-case-fd-c-tor1c-04
100	Corsair Obsidian 500D RGB SE ATX Mid Tower Case (CC-9011139-WW)	Corsair	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	370 mm / 14.567			€249.90	https://fi.pcpartpicker.com/product/xVbwrH/corsair-obsidian-500d-rgb-se-atx-mid-tower-case-cc-9011139-ww
101	Fractal Design Torrent Compact ATX Mid Tower Case (FD-C-TOR1C-03)	Fractal Design	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	330 mm / 12.992			€169.00	https://fi.pcpartpicker.com/product/8GM48d/fractal-design-torrent-compact-atx-mid-tower-case-fd-c-tor1c-03
102	be quiet! Dark Base Pro 900 Rev. 2 ATX Full Tower Case (BGW15)	be quiet!	ATX Full Tower	Black	None	Tempered Glass	Yes	ATX	323 mm / 12.717 With Drive Cages			€269.90	https://fi.pcpartpicker.com/product/nVZFf7/be-quiet-dark-base-pro-900-black-rev-2-atx-full-tower-case-bgw15
103	be quiet! Silent Base 802 ATX Mid Tower Case (BGW39)	be quiet!	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	287 mm / 11.299 With Drive Cages	83.757 L	539 mm x 281 mm x 553 mm	€192.90	https://fi.pcpartpicker.com/product/TVJmP6/be-quiet-silent-base-802-atx-mid-tower-case-bgw39
104	Corsair SPEC-04 ATX Mid Tower Case (CC-9011107-WW)	Corsair	ATX Mid Tower	Black / Red	None	Acrylic	No	ATX	370 mm / 14.567	42.82 L	492 mm x 201 mm x 433 mm	€65.00	https://fi.pcpartpicker.com/product/2tTrxr/corsair-spec-04-blackred-atx-mid-tower-case-cc-9011107-ww
105	Phanteks Eclipse P400A Digital ATX Mid Tower Case (PH-EC400ATG_DWT)	Phanteks	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	280 mm / 11.024 With Drive Cages	45.895 L	470 mm x 210 mm x 465 mm	€109.00	https://fi.pcpartpicker.com/product/FP3mP6/phanteks-eclipse-p400a-digital-atx-mid-tower-case-ph-ec400atg_dwt
106	Corsair 7000D AIRFLOW ATX Full Tower Case (CC-9011219-WW)	Corsair	ATX Full Tower	White / Black	None	Tempered Glass	Yes	ATX	450 mm / 17.717	81.84 L	550 mm x 248 mm x 600 mm	€259.00	https://fi.pcpartpicker.com/product/6WfnTW/corsair-7000d-airflow-atx-mid-tower-case-cc-9011219-ww
107	Fractal Design Focus G ATX Mid Tower Case (FD-CA-FOCUS-RD-W)	Fractal Design	ATX Mid Tower	Black / Red	None	Acrylic	No	ATX	380 mm / 14.961	42.233 L	464 mm x 205 mm x 444 mm	€69.90	https://fi.pcpartpicker.com/product/Yzbkcf/fractal-design-focus-g-atx-mid-tower-case-fd-ca-focus-rd-w
108	Fractal Design Meshify 2 ATX Mid Tower Case (FD-C-MES2A-05)	Fractal Design	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	315 mm / 12.402 With Drive Cages	61.658 L	542 mm x 240 mm x 474 mm	€162.90	https://fi.pcpartpicker.com/product/Tjwkcf/fractal-design-meshify-2-atx-mid-tower-case-fd-c-mes2a-05
109	Corsair 275R ATX Mid Tower Case (CC-9011133-WW)	Corsair	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	370 mm / 14.567	44.162 L	455 mm x 211 mm x 460 mm	€99.90	https://fi.pcpartpicker.com/product/QjWfrH/corsair-275r-atx-mid-tower-case-cc-9011133-ww
110	Corsair 760T ATX Full Tower Case (CC-9011074-WW)	Corsair	ATX Full Tower	White	None	Acrylic	No	ATX	450 mm / 17.717	78.807 L	564 mm x 246 mm x 568 mm	€210.90	https://fi.pcpartpicker.com/product/6zyxFT/corsair-case-cc9011074ww
111	Fractal Design Torrent Compact ATX Mid Tower Case (FD-C-TOR1C-01)	Fractal Design	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	330 mm / 12.992			€169.00	https://fi.pcpartpicker.com/product/m9LFf7/fractal-design-torrent-compact-atx-mid-tower-case-fd-c-tor1c-01
112	Phanteks Enthoo Pro 2 ATX Full Tower Case (PH-ES620PC_BK01)	Phanteks	ATX Full Tower	Black	None	None	Yes	ATX	503 mm / 19.803			€159.00	https://fi.pcpartpicker.com/product/qBn8TW/phanteks-enthoo-pro-2-atx-full-tower-case-ph-es620pc_bk01
113	Fractal Design Meshify 2 Compact White TG Clear Tint ATX Mid Tower Case (FD-C-MES2C-05)	Fractal Design	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	341 mm / 13.425 With Drive Cages			€150.90	https://fi.pcpartpicker.com/product/x6stt6/fractal-design-meshify-2-compact-white-tg-clear-tint-atx-mid-tower-case-fd-c-mes2c-05
114	Corsair SPEC-05 ATX Mid Tower Case (CC-9011138-WW)	Corsair	ATX Mid Tower	Black	None	Acrylic	No	ATX	370 mm / 14.567	41.619 L	483 mm x 199 mm x 433 mm	€66.00	https://fi.pcpartpicker.com/product/qP8j4D/corsair-spec-05-atx-mid-tower-case-cc-9011138-ww
115	Cooler Master MasterBox MB600L V2 ATX Mid Tower Case (MB600L2-KNNN-S00)	Cooler Master	ATX Mid Tower	Black	None	None	Yes	ATX	350 mm / 13.78	37.663 L	405.5 mm x 204 mm x 455.3 mm	€79.90	https://fi.pcpartpicker.com/product/fgpzK8/cooler-master-masterbox-mb600l-v2-atx-mid-tower-case-mb600l2-knnn-s00
116	Corsair 275R ATX Mid Tower Case (CC-9011132-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567	44.162 L	455 mm x 211 mm x 460 mm	€139.00	https://fi.pcpartpicker.com/product/KFXnTW/corsair-carbide-series-275r-atx-mid-tower-case-cc-9011132-ww
117	KOLINK OBSERVATORY LITE MESH RGB ATX Mid Tower Case (OBSERVATORY LITE MESH)	KOLINK	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	310 mm / 12.205 With Drive Cages			€79.90	https://fi.pcpartpicker.com/product/ztTzK8/kolink-observatory-lite-mesh-rgb-atx-mid-tower-case-observatory-lite-mesh
118	BitFenix Nova Mesh SE ATX Mid Tower Case (BFC-NSE-300-KKGSK-4A)	BitFenix	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	315 mm / 12.402	36.081 L	380 mm x 211 mm x 450 mm	€69.90	https://fi.pcpartpicker.com/product/rPjNnQ/bitfenix-nova-mesh-se-atx-mid-tower-case-bfc-nse-300-kkgsk-4a
119	Cooler Master MasterBox Q500L ATX Mid Tower Case (MCB-Q500L-KANN-S00)	Cooler Master	ATX Mid Tower	Black	None	Acrylic	No	ATX	270 mm / 10.63	33.825 L	386 mm x 230 mm x 381 mm	€79.90	https://fi.pcpartpicker.com/product/jG7v6h/cooler-master-masterbox-q500l-atx-mid-tower-case-mcb-q500l-kann-s00
120	Thermaltake V250 TG ARGB ATX Mid Tower Case (CA-1Q5-00M1WN-00)	Thermaltake	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	320 mm / 12.598			€87.40	https://fi.pcpartpicker.com/product/jFH8TW/thermaltake-v250-tg-argb-atx-mid-tower-case-ca-1q5-00m1wn-00
121	Fractal Design Meshify 2 ATX Mid Tower Case (FD-C-MES2A-01)	Fractal Design	ATX Mid Tower	Black	None	None	Yes	ATX	315 mm / 12.402 With Drive Cages	61.658 L	542 mm x 240 mm x 474 mm	€169.00	https://fi.pcpartpicker.com/product/6KWBD3/fractal-design-meshify-2-atx-mid-tower-case-fd-c-mes2a-01
122	Corsair Crystal 680X RGB ATX Mid Tower Case (CC-9011169-WW)	Corsair	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	330 mm / 12.992			€229.90	https://fi.pcpartpicker.com/product/qVMwrH/corsair-crystal-series-680x-rgb-atx-mid-tower-case-cc-9011169-ww
123	Corsair Crystal 570X RGB ATX Mid Tower Case (CC-9011098-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567	57.508 L	480 mm x 234 mm x 512 mm	€187.00	https://fi.pcpartpicker.com/product/wLdFf7/corsair-cc-9011098-ww-atx-mid-tower-case-cc-9011098-ww
124	Deepcool CK560 ATX Mid Tower Case (R-CK560-WHAAE4-G-1)	Deepcool	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	380 mm / 14.961			€104.90	https://fi.pcpartpicker.com/product/9CQcCJ/deepcool-ck560-atx-mid-tower-case-r-ck560-whaae4-g-1
125	Corsair 780T ATX Full Tower Case (CC-9011059-WW)	Corsair	ATX Full Tower	Black / White	None	Acrylic	No	ATX	355 mm / 13.976	109.874 L	601 mm x 287 mm x 637 mm	€239.90	https://fi.pcpartpicker.com/product/vj4NnQ/corsair-case-cc9011059ww
126	Antec DF600 FLUX ATX Mid Tower Case (DF600 FLUX)	Antec	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	405 mm / 15.945			€94.00	https://fi.pcpartpicker.com/product/HYGnTW/antec-df600-flux-atx-mid-tower-case-df600-flux
127	NZXT H510i ATX Mid Tower Case (CA-H510i-BR)	NZXT	ATX Mid Tower	Black / Red	None	Tempered Glass	Yes	ATX	381 mm / 15 With Drive Cages	41.345 L	428 mm x 210 mm x 460 mm	€107.90	https://fi.pcpartpicker.com/product/ztJmP6/nzxt-h510i-atx-mid-tower-case-ca-h510i-br
128	Corsair 110R ATX Mid Tower Case (CC-9011183-WW)	Corsair	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	330 mm / 12.992	42.134 L	418 mm x 210 mm x 480 mm	€100.90	https://fi.pcpartpicker.com/product/dC6qqs/corsair-110r-atx-mid-tower-case-cc-9011183-ww
129	Cooler Master MasterBox MB520 ARGB ATX Mid Tower Case (MCB-B520-KGNN-RGA)	Cooler Master	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	400 mm / 15.748			€129.90	https://fi.pcpartpicker.com/product/3ZCFf7/cooler-master-masterbox-mb520-argb-atx-mid-tower-case-mcb-b520-kgnn-rga
130	Corsair iCUE 465X RGB ATX Mid Tower Case (CC-9011189-WW)	Corsair	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567			€149.00	https://fi.pcpartpicker.com/product/QTJmP6/corsair-icue-465x-rgb-atx-mid-tower-case-cc-9011189-ww
131	Lian Li O11 Dynamic EVO ATX Mid Tower Case (PC-O11DEG)	Lian Li	ATX Mid Tower	Gray / Black	None	Tinted Tempered Glass	Yes	ATX	422 mm / 16.614			€177.90	https://fi.pcpartpicker.com/product/fQNxFT/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11deg
132	Fractal Design Define 7 XL ATX Full Tower Case (FD-C-DEF7X-01)	Fractal Design	ATX Full Tower	Black	None	None	Yes	ATX	359 mm / 14.134 With Drive Cages	82.047 L	604 mm x 240 mm x 566 mm	€259.00	https://fi.pcpartpicker.com/product/dyLwrH/fractal-design-define-7-xl-atx-full-tower-case-fd-c-def7x-01
133	Corsair iCUE 5000T RGB ATX Mid Tower Case (CC-9011231-WW)	Corsair	ATX Mid Tower	White / Gray	None	Tempered Glass	Yes	ATX	400 mm / 15.748			€439.00	https://fi.pcpartpicker.com/product/RvFbt6/corsair-icue-5000t-rgb-atx-mid-tower-case-cc-9011231-ww
134	Phanteks Eclipse G360A ATX Mid Tower Case (PH-EC360ATG_DMW02)	Phanteks	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	400 mm / 15.748	42.315 L	455 mm x 200 mm x 465 mm	€109.90	https://fi.pcpartpicker.com/product/tcnypg/phanteks-eclipse-g360a-atx-mid-tower-case-ph-ec360atg_dmw02
135	NZXT H7 ATX Mid Tower Case (CM-H71FG-01)	NZXT	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	400 mm / 15.748	55.752 L	480 mm x 230 mm x 505 mm	€144.90	https://fi.pcpartpicker.com/product/sgWzK8/nzxt-h7-atx-mid-tower-case-cm-h71fg-01
136	Phanteks Eclipse P600S ATX Mid Tower Case (PH-EC600PSTG_BK01)	Phanteks	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	294 mm / 11.575 With Drive Cages			€167.90	https://fi.pcpartpicker.com/product/2Kw7YJ/phanteks-eclipse-p600s-atx-mid-tower-case-ph-ec600pstg_bk01
137	Deepcool Matrexx 55 V3 ATX Mid Tower Case (DP-ATX-MATREXX55V3)	Deepcool	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	340 mm / 13.386 With Drive Cages			€44.90	https://fi.pcpartpicker.com/product/zFn8TW/deepcool-matrexx-55-v3-atx-mid-tower-case-dp-atx-matrexx55v3
138	MSI MPG Sekira 100R ATX Mid Tower Case (MPG SEKIRA 100R)	MSI	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	340 mm / 13.386	42.892 L	420 mm x 215 mm x 475 mm	€149.90	https://fi.pcpartpicker.com/product/rXK2FT/msi-mpg-sekira-100r-atx-mid-tower-case-mpg-sekira-100r
139	be quiet! Pure Base 600 ATX Mid Tower Case (BGW20)	be quiet!	ATX Mid Tower	Black / Orange	None	Tempered Glass	No	ATX	280 mm / 11.024 With Drive Cages	50.873 L	492 mm x 220 mm x 470 mm	€119.90	https://fi.pcpartpicker.com/product/3wfmP6/be-quiet-pure-base-600-wwindow-blackorange-atx-mid-tower-case-bgw20
140	Thermaltake View 71 TG RGB ATX Full Tower Case (CA-1I7-00F1WN-01)	Thermaltake	ATX Full Tower	Black	None	Acrylic	No	ATX	310 mm / 12.205 With Drive Cages			€237.00	https://fi.pcpartpicker.com/product/tnWrxr/thermaltake-view-71-tg-rgb-atx-full-tower-case-ca-1i7-00f1wn-01
141	Deepcool CG560 ATX Mid Tower Case (R-CG560-BKAAE4-G-1)	Deepcool	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	380 mm / 14.961	48.861 L	452 mm x 230 mm x 470 mm	€87.80	https://fi.pcpartpicker.com/product/34LFf7/deepcool-cg560-atx-mid-tower-case-r-cg560-bkaae4-g-1
